word,canonical_lemma,frequency_21215,chinese_translation,source_type,nrc_category,vader_score,target_experience_object
impressed,impressed,255,感到深深被折服/留下深刻印象,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unfortunately,unfortunately,240,不幸的是 / 遗憾的是,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fortunate,fortunate,235,幸运的 / 幸运地,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
efficient,efficient,215,高效省心的,Direct NRC Included (N=358),Trust (信任),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
welcome,welcome,212,受欢迎的 / 感受温暖的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
entertaining,entertaining,210,引人入胜生动有趣的,Direct NRC Included (N=358),Joy (喜悦),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
inspiring,inspiring,210,令人启发震慑的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cheaper,cheaper,208,更实惠的 / 较便宜的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
phenomenal,phenomenal,200,现象级震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
superb,superb,196,极好精湛的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),3.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
surprised,surprised,196,感到惊喜惊讶的,Direct NRC Included (N=358),Surprise (惊喜),0.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
surprise,surprise,195,惊喜 / 意料之外的喜悦,Direct NRC Included (N=358),Joy (喜悦),1.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fine,fine,190,良好的 / 优秀的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
brilliant,brilliant,184,璀璨的 / 出色的,Direct NRC Included (N=358),Joy (喜悦),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
forward,forward,183,期待（look forward）,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
reasonable,reasonable,179,合理的 / 公道的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,"4. Booking, Price & Value (行程预订与性价比)"
ready,ready,171,准备就绪的 / 心安的,Direct NRC Included (N=358),Anticipation (期待),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
excited,excited,167,兴奋的 / 激动的,Direct NRC Included (N=358),Joy (喜悦),1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
majestic,majestic,165,雄伟的 / 壮丽的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
competent,competent,163,称职的 / 有能力的,Direct NRC Included (N=358),Trust (信任),1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
quiet,quiet,161,宁静的 / 幽雅安静的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
relaxed,relaxed,159,放松的 / 从容的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hope,hope,159,希望 / 期盼,Direct NRC Included (N=358),Joy (喜悦),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
concerned,concern,155,感到担心的,Direct NRC Included (N=358),Fear (恐惧),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
perfectly,perfectly,155,完美地 / 无可挑剔地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
interested,interested,153,感兴趣的 / 充满好奇的,Direct NRC Included (N=358),Sadness (悲伤),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pleasure,pleasure,153,乐趣 / 愉悦,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
magical,magical,152,神奇的 / 魔幻般的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
afraid,afraid,150,害怕的 / 恐惧的,Direct NRC Included (N=358),Fear (恐惧),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
worried,worried,149,感到担心的,Direct NRC Included (N=358),Sadness (悲伤),-1.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
scared,scared,144,感到恐惧害怕的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.9,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
smoother,smoother,143,更平稳的 / 更顺畅的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fully,fully,143,完全地 / 充分地,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
wrong,wrong,137,出差错的 / 错误的（负面体验）,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-2.1,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
cheap,cheap,134,便宜的 / 廉价的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,"4. Booking, Price & Value (行程预订与性价比)"
blessed,blessed,133,感到有福的 / 幸运的,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pleased,pleased,132,感到满意的,Direct NRC Included (N=358),Joy (喜悦),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
safely,safely,132,安全平稳地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
exactly,exactly,130,精准地 / 正是,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
impressive,impressive,130,令人印象深刻的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
thrill,thrill,129,刺激 / 震慑感,Direct NRC Included (N=358),Joy (喜悦),1.5,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
thrilling,thrilling,126,令人惊险刺激酣畅的,Direct NRC Included (N=358),Joy (喜悦),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
humor,humor,125,幽默感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
dream,dream,124,梦寐以求的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sorry,sorry,123,感到抱歉遗憾的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
relaxing,relaxing,122,令人放松惬意的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
comfort,comfort,121,舒适 / 宽慰安心,Direct NRC Included (N=358),Joy (喜悦),1.5,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
disappoint,disappoint,121,使失望,Direct NRC Included (N=358),Sadness (悲伤),-1.7,"4. Booking, Price & Value (行程预订与性价比)"
wonder,wonder,121,惊奇 / 赞叹,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
amazed,amazed,120,感到吃惊惊叹的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fear,fear,120,恐惧 / 害怕,Direct NRC Included (N=358),Fear (恐惧),-2.2,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
unable,unable,114,无法的 / 无能为力的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
thrilled,thrilled,113,极度兴奋的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
confidence,confidence,112,信心 / 确信,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
difficult,difficult,112,困难的 / 令人头疼的,Direct NRC Included (N=358),Fear (恐惧),-1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
expert,expert,112,专家级的 / 娴熟的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
honestly,honestly,111,老实说 / 真诚地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
confident,confident,109,自信的 / 确信的,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
willing,willing,108,乐意的 / 愿意的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worry,worry,106,担心 / 忧虑感,Direct NRC Included (N=358),Fear (恐惧),-1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
smoothest,smoothest,105,最平稳的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
positive,positive,101,积极正面的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
surreal,surreal,98,超现实的 / 梦幻般的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
reassuring,reassuring,97,令人安心放心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,"2. Pilot, Crew & Guide Service (飞行员与解说服务)"
sweet,sweet,97,甜蜜的 / 甜美的,Direct NRC Included (N=358),Joy (喜悦),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
concern,concern,96,担忧 / 关切（焦虑感）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
luckily,luckily,96,幸运地 / 幸亏,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
poor,poor,95,贫乏的 / 差劲的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
scary,scary,94,令人害怕的 / 吓人的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
enthusiastic,enthusiastic,93,热情的 / 充满激情的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
apprehensive,apprehensive,92,忧虑的 / 不安的,Direct NRC Included (N=358),Fear (恐惧),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
exhilarating,exhilarating,90,令人极为兴奋刺激的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
honest,honest,88,诚实的 / 坦诚的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
lucked,lucky,86,幸运地 (动词变体),Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
inaccessible,inaccessible,86,难以到达的 / 偏远秘境感,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
rushed,rushed,85,仓促的 / 匆忙的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
capable,capable,84,有能力的 / 熟练精湛的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
prone,prone,84,易患（晕机）的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
simple,simple,84,简单明了的 / 省心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
wonders,wonder,83,惊奇 / 奇观,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fascinating,fascinating,83,令人入迷极具吸引力的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
grateful,grateful,80,感激的 / 感恩的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
delightful,delightful,80,令人欢欣的,Direct NRC Included (N=358),Joy (喜悦),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
advantage,advantage,78,优势 / 极佳点,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
assured,assured,78,安抚 / 确信,Direct NRC Included (N=358),Trust (信任),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pride,pride,77,自豪 / 骄傲,Direct NRC Included (N=358),Joy (喜悦),1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
safer,safer,77,更安全的 / 更安心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
famous,famous,77,著名的 / 享誉的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
neat,neat,76,整洁的 / 干练的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worthwhile,worthwhile,75,值得的 / 划算的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.4,"4. Booking, Price & Value (行程预订与性价比)"
coolest,coolest,75,最酷爽震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stable,stable,75,平稳安心的,Direct NRC Included (N=358),Trust (信任),1.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
promptly,promptly,74,及时迅速地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
concerns,concerns,73,担忧 / 关切,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
greatest,greatest,73,最伟大的 / 极佳的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
ideal,ideal,72,理想的 / 完美的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
peaceful,peaceful,72,平和宁静的,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
understanding,understanding,70,体谅的 / 理解的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
impossible,impossible,65,不可能的 / 难以置信的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
tremendous,tremendous,64,震撼巨大的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
passion,passion,64,热情 / 激情,Direct NRC Included (N=358),Joy (喜悦),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fears,fears,64,恐惧 / 忧虑,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.8,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
conscious,conscious,63,有意识的 / 讲究的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pristine,pristine,62,原始纯净的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
dramatic,dramatic,61,戏剧性的 / 震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
extraordinary,extraordinary,61,非凡的 / 卓越的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
gracious,gracious,61,亲切和蔼的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
moving,moving,61,令人动容感人的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
passionate,passionate,61,充满激情的,Direct NRC Included (N=358),Joy (喜悦),2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
considerate,considerate,60,体贴周到的,Direct NRC Included (N=358),Trust (信任),1.9,"2. Pilot, Crew & Guide Service (飞行员与解说服务)"
joy,joy,60,喜悦 / 快乐,Direct NRC Included (N=358),Joy (喜悦),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
entertained,entertained,60,感到深受愉悦娱乐的,Direct NRC Included (N=358),Joy (喜悦),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
complimentary,complimentary,59,赞赏的 / 赠送贴心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
convenient,convenient,59,便捷省心的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
excitement,excitement,59,兴奋 / 激动情绪,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
intimate,intimate,59,温馨亲切的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
nerves,nerves,59,紧张感 / 不安神经,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.4,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
unreal,unreal,59,如梦似幻的 / 震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
disappointing,disappointing,58,令人失望的,Direct NRC Included (N=358),Sadness (悲伤),-2.2,"4. Booking, Price & Value (行程预订与性价比)"
