word,canonical_lemma,chinese_translation,emotion_category,frequency_21215,review_count_21215,nrc_tags
encouraged,encouraged,深受鼓舞的,Unclassified,44,43,Unmapped
quieter,quieter,更安静宁静的,Unclassified,44,44,Unmapped
beautifully,beautifully,优美地 / 出色地,Unclassified,43,43,Unmapped
calming,calming,令人平息平稳安心的（Calmness State）,Unclassified,42,39,Unmapped
enjoyment,enjoyment,乐趣 / 享受,Unclassified,39,39,Unmapped
handle,handle,善于处理 / 掌控感,Unclassified,39,38,Unmapped
nicest,nicest,最美好的 / 最亲切的,Unclassified,39,39,Unmapped
worst,worst,最糟糕的,Unclassified,39,39,Unmapped
hospitable,hospitable,殷勤好客的,Unclassified,38,37,Unmapped
pleasantly,pleasantly,令人愉快地,Unclassified,38,38,Unmapped
worries,worry,担忧 / 挂虑,Anxiety / Worry,38,38,Unmapped
cared,cared,得到无微不至关怀的,Unclassified,37,37,Unmapped
hopefully,hopefully,怀着希望地,Unclassified,37,37,Unmapped
nicely,nicely,很好地 / 优雅地,Unclassified,37,36,Unmapped
humour,humour,幽默感,Unclassified,35,34,Unmapped
airsick,airsick,晕机的,Unclassified,33,32,Unmapped
hassle,hassle,麻烦 / 烦心事,Unclassified,33,33,Unmapped
reassured,reassured,感到安心的,Unclassified,32,32,Unmapped
upfront,upfront,直率透明的,Unclassified,32,32,Unmapped
economical,economical,划算实惠的,Unclassified,31,31,Unmapped
breathtakingly,breathtakingly,令人屏息震撼地（Awe/Amazement Emotion）,Unclassified,30,30,Unmapped
kindly,kindly,体贴友善地,Unclassified,30,29,Unmapped
gladly,gladly,乐意地 / 高兴地,Joy / Eagerness,29,29,Unmapped
interactive,interactive,互动性强的,Unclassified,29,29,Unmapped
pure,pure,纯粹的 / 纯净震撼的,Unclassified,29,29,Unmapped
unbelievably,unbelievably,难以置信地,Unclassified,29,29,Unmapped
sad,sad,悲伤的 / 遗憾痛心的,Unclassified,28,28,Unmapped
aside,aside,撇开 / 排除,Unclassified,27,27,Unmapped
comforting,comforting,令人感到安慰抚慰的,Comfort / Relief,27,27,Unmapped
regrets,regrets,遗憾 / 后悔,Unclassified,27,27,Unmapped
basic,basic,基础的 / 简陋的,Unclassified,26,24,Unmapped
mesmerizing,mesmerizing,令人目眩神迷为之倾倒的,Fascination / Awe,26,26,Unmapped
bump,bump,颠簸不适的,Unclassified,25,24,Unmapped
talkative,talkative,健谈热情的,Unclassified,23,23,Unmapped
calmed,calmed,心情平静安稳下来的,Unclassified,22,22,Unmapped
favourite,favourite,最喜爱的,Unclassified,22,21,Unmapped
lasting,lasting,持久的 / 深刻的,Unclassified,22,22,Unmapped
talented,talented,才华横溢精湛的,Unclassified,22,22,Unmapped
bummed,bummed,感到扫兴遗憾失落的,Unclassified,21,20,Unmapped
mild,mild,轻微适度的（颠簸/舒适）,Unclassified,21,20,Unmapped
surprises,surprise,惊喜 / 意料之外,Surprise,21,21,Unmapped
unbeatable,unbeatable,无可比拟的 / 无敌的,Unclassified,21,20,Unmapped
astonishing,astonishing,令人惊叹的,Unclassified,20,20,Unmapped
mood,mood,心情 / 情绪,Unclassified,20,19,Unmapped
spiritual,spiritual,精神神圣的,Unclassified,20,19,Unmapped
awestruck,awestruck,充满敬畏震撼的,Unclassified,19,19,Unmapped
comfy,comfy,舒适惬意的,Unclassified,19,18,Unmapped
touching,touching,令人动容流泪的,Unclassified,19,19,Unmapped
amazement,amazement,惊叹 / 惊奇,Unclassified,18,18,Unmapped
astounding,astounding,令人无比震撼惊叹的,Unclassified,18,18,Unmapped
chill,chill,惬意轻松的,Unclassified,18,18,Unmapped
easiest,easiest,最省心的 / 最容易的,Unclassified,18,18,Unmapped
haha,haha,哈哈（欢快情绪）,Unclassified,18,18,Unmapped
keen,keen,热情的 / 敏锐的,Unclassified,18,18,Unmapped
smart,smart,聪慧的 / 明智的,Unclassified,18,18,Unmapped
wondered,wonder,感到惊奇惊叹 (动词变体),Amazement / Wonder,18,18,Unmapped
cordial,cordial,热情亲切礼貌的,Unclassified,17,17,Unmapped
hopes,hopes,期盼 / 希望,Unclassified,17,17,Unmapped
claustrophobic,claustrophobic,感到幽闭恐惧压抑的,Unclassified,16,16,Unmapped
awed,awed,感到为之肃然起敬震撼的,Awe,15,15,Unmapped
bubbly,bubbly,活泼热情的,Unclassified,15,15,Unmapped
unprofessional,unprofessional,不专业的,Unclassified,15,11,Unmapped
warmth,warmth,温暖安心感,Warmth / Comfort,15,15,Unmapped
bothered,bothered,困扰的 / 烦心的,Unclassified,14,14,Unmapped
frustrating,frustrating,令人挫败的 / 烦人的,Unclassified,14,13,Unmapped
marvellous,marvellous,令人叹为观止的,Amazement / Awe,14,13,Unmapped
satisfaction,satisfaction,满意感,Satisfaction,14,14,Unmapped
trustworthy,trustworthy,值得信赖靠谱的,Unclassified,14,14,Unmapped
safest,safest,最安全平稳的,Unclassified,13,13,Unmapped
tricky,tricky,棘手不安的,Unclassified,13,12,Unmapped
vibrant,vibrant,生机勃勃色彩斑斓的,Unclassified,13,13,Unmapped
worldly,worldly,超凡脱俗的,Unclassified,13,13,Unmapped
bored,bored,感到无聊厌烦的,Boredom,12,12,Unmapped
soaking,soaking,沉浸于（soaking in view）,Unclassified,12,12,Unmapped
superbly,superbly,出类拔萃完美地,Unclassified,12,12,Unmapped
cheesy,cheesy,俗气的 / 劣质的,Unclassified,11,11,Unmapped
rewarding,rewarding,非常有成就感/物超所值的,Unclassified,11,11,Unmapped
satisfying,satisfying,令人称心满意的,Unclassified,11,11,Unmapped
slick,slick,熟练专业/光滑的,Unclassified,11,11,Unmapped
superlative,superlative,顶级极致赞赏的,Unclassified,11,11,Unmapped
emotional,emotional,情感上的 / 动情的,Unclassified,10,10,Unmapped
friendlier,friendlier,更加亲切友好的,Unclassified,10,10,Unmapped
mesmerized,mesmerized,被深深吸引迷住的,Fascination / Awe,10,10,Unmapped
stability,stability,平稳安心感,Unclassified,10,10,Unmapped
stunningly,stunningly,令人震撼地,Unclassified,10,10,Unmapped
wonderfull,wonderful,令人惊叹绝妙的 (错别字变体),Joy / Wonder,10,10,Unmapped
automatically,automatically,自动地 / 自然而然,Unclassified,9,9,Unmapped
awkward,awkward,尴尬的 / 别扭的,Unclassified,9,9,Unmapped
cheerfully,cheerfully,欢快愉悦地,Unclassified,9,8,Unmapped
claustrophobia,claustrophobia,幽闭恐惧症（密闭机舱焦虑）,Fear / Anxiety,9,9,Unmapped
effortless,effortless,轻松平稳的,Unclassified,9,9,Unmapped
hassles,hassles,烦心事 / 摩擦,Unclassified,9,9,Unmapped
stuffed,stuffed,塞满的 / 憋闷不适的,Unclassified,9,9,Unmapped
unspoiled,unspoiled,未经破坏原始纯粹的,Unclassified,9,9,Unmapped
annoyed,annoyed,感到烦恼的 / 恼火的,Unclassified,8,7,Unmapped
cherished,cherish,珍视铭记的,Love / Affection,8,8,Unmapped
dissapointed,disappointed,感到失望的（错别字变体）,Disappointment,8,7,Unmapped
shocked,shocked,感到震惊惊吓的,Surprise / Shock,8,8,Unmapped
spoiled,spoiled,好心情被破坏毁掉的,Unclassified,8,8,Unmapped
yummy,yummy,美味愉悦的,Unclassified,8,8,Unmapped
alas,alas,唉 / 遗憾的是,Unclassified,7,7,Unmapped
captivated,captivated,被深深吸引着迷的,Unclassified,7,7,Unmapped
classy,classy,高端优雅的,Unclassified,7,7,Unmapped
curious,curious,好奇求知的,Unclassified,7,7,Unmapped
enthusiastically,enthusiastically,热情高涨地,Unclassified,7,7,Unmapped
exhilerating,exhilarating,令人兴奋刺激酣畅地（错别字变体）,Excitement,7,6,Unmapped
gushing,gushing,滔滔不绝赞赞称道的,Unclassified,7,6,Unmapped
hesitating,hesitating,犹豫顾虑（心理活动）,Unclassified,7,7,Unmapped
relieved,relieved,宽慰的 / 松了一口气,Unclassified,7,7,Unmapped
rudely,rudely,粗鲁地 / 无礼地,Unclassified,7,6,Unmapped
strange,strange,怪异不安的,Unclassified,7,7,Unmapped
suffered,suffered,遭受身体/晕眩痛苦,Unclassified,7,7,Unmapped
appropriately,appropriately,恰当地 / 贴心地,Unclassified,6,6,Unmapped
broad,broad,宽广的,Unclassified,6,6,Unmapped
calmer,calmer,更平静安心的,Unclassified,6,6,Unmapped
casual,casual,随和轻松的,Unclassified,6,6,Unmapped
discouraged,discouraged,感到灰心气馁的,Unclassified,6,5,Unmapped
enthralled,enthralled,被深深吸引迷住的,Unclassified,6,6,Unmapped
fascinated,fascinated,深深入迷为之倾倒的,Fascination,6,6,Unmapped
frightening,frightening,令人惊恐吓人的,Unclassified,6,6,Unmapped
inspirational,inspirational,鼓舞人心的,Unclassified,6,6,Unmapped
sublime,sublime,崇高壮丽绝美的（Aesthetic Emotion/Awe）,Unclassified,6,6,Unmapped
warmest,warmest,最暖心亲切的,Unclassified,6,6,Unmapped
comforted,comforted,感到安慰安心的,Comfort / Relief,5,5,Unmapped
envy,envy,羡慕 / 嫉妒,Envy,5,5,Unmapped
hated,hate,讨厌 / 极为憎恶的,Anger / Dislike,5,5,Unmapped
hates,hate,厌恶 / 讨厌,Anger / Dislike,5,5,Unmapped
intimidating,intimidating,令人胆怯令人畏惧的,Unclassified,5,5,Unmapped
jitters,jitters,忐忑不安 / 紧张发抖感,Nervousness / Anxiety,5,5,Unmapped
marveled,marvel,惊叹赞赏的,Wonder / Awe,5,5,Unmapped
overwhelmingly,overwhelmingly,压倒性震撼地,Unclassified,5,5,Unmapped
stressful,stressful,令人压力重重焦虑的（Stress/Anxiety State）,Unclassified,5,5,Unmapped
suprise,surprise,惊喜 / 意料之外（错别字变体）,Surprise,5,5,Unmapped
wowed,wowed,被深深惊叹震撼的,Amazement / Awe,5,5,Unmapped
disconcerting,disconcerting,令人不安的,Unclassified,4,4,Unmapped
dreaded,dread,令人害怕恐惧的 / 提心吊胆,Fear / Dread,4,4,Unmapped
dreading,dread,感到十分恐惧担心的,Fear / Dread,4,4,Unmapped
embarrassed,embarrassed,感到尴尬难堪的,Unclassified,4,4,Unmapped
emotion,emotion,情感 / 情绪,Unclassified,4,4,Unmapped
exhilarated,exhilarated,感到无比兴奋酣畅的,Excitement / Joy,4,4,Unmapped
giddy,giddy,兴奋得头晕目眩欢欣的,Excitement / Joy,4,4,Unmapped
irritated,irritated,感到恼火烦躁的,Unclassified,4,4,Unmapped
peacefulness,peacefulness,宁静详和感,Calm / Serenity,4,4,Unmapped
phobia,phobia,恐惧症 / 恐高心理,Fear,4,3,Unmapped
pleasing,pleasing,令人愉悦满意的,Pleasure / Satisfaction,4,4,Unmapped
profound,profound,深刻震撼的,Unclassified,4,4,Unmapped
spellbinding,spellbinding,扣人心弦迷人的,Unclassified,4,4,Unmapped
spellbound,spellbound,出神为之入迷的,Fascination / Awe,4,4,Unmapped
stoked,stoked,极为激动期待的,Excitement,4,4,Unmapped
subtle,subtle,微妙精细的,Unclassified,4,4,Unmapped
suprised,surprised,感到惊喜惊讶的（错别字变体）,Surprise,4,4,Unmapped
thrills,thrills,刺激 / 快感,Unclassified,4,4,Unmapped
underwhelmed,underwhelmed,大失所望未达预期的,Disappointment,4,4,Unmapped
unnerving,unnerving,令人发慌不安吓人的,Unclassified,4,4,Unmapped
wildest,wildest,最疯狂的（狂想）,Unclassified,4,4,Unmapped
aggressively,aggressively,挑衅攻击地 / 极其恶劣地,Unclassified,3,3,Unmapped
ambivalent,ambivalent,矛盾复杂心理的,Mixed Emotion,3,3,Unmapped
apprehensions,apprehension,顾虑 / 忧虑不安,Anxiety / Fear,3,3,Unmapped
aprehensive,apprehensive,感到忧虑不安的（错别字变体）,Anxiety / Fear,3,3,Unmapped
astonished,astonished,感到十分惊异惊叹的,Amazement / Surprise,3,3,Unmapped
astounded,astounded,感到十分震惊震撼的,Amazement,3,3,Unmapped
carefree,carefree,无忧无虑自在的,Unclassified,3,3,Unmapped
daunting,daunting,令人望而生畏胆怯的,Fear / Anxiety,3,3,Unmapped
dazzled,dazzled,目眩神迷震撼的,Amazement / Awe,3,3,Unmapped
disappointingly,disappointed,令人失望地,Disappointment,3,3,Unmapped
dissatisfied,dissatisfied,感到不满意的,Disappointment / Dissatisfaction,3,3,Unmapped
dreaming,dreaming,梦寐以求 / 心驰神往,Unclassified,3,3,Unmapped
indulge,indulge,尽情享受 / 犒劳自己,Unclassified,3,3,Unmapped
peacefully,peacefully,宁静和平地,Unclassified,3,3,Unmapped
scaring,scare,使人害怕恐惧的,Fear,3,3,Unmapped
securely,securely,安全平稳地,Unclassified,3,3,Unmapped
spoilt,spoilt,被破坏败兴的,Unclassified,3,3,Unmapped
exhausting,exhausting,令人筋疲力尽的,Fatigue / Exhaustion,2,2,Unmapped
favourable,favourable,有利的 / 良好的,Unclassified,2,2,Unmapped
positively,positively,积极正面地,Unclassified,2,2,Unmapped
primo,primo,一流的 / 顶级的,Unclassified,2,1,Unmapped
pumped,pumped,兴奋激动的 / 跃跃欲试,Unclassified,2,2,Unmapped
askance,askance,怀疑斜视地（不信任）,Unclassified,1,1,Unmapped
bluest,bluest,最湛蓝的（极致景色）,Unclassified,1,1,Unmapped
bluntly,bluntly,直言不讳地,Unclassified,1,1,Unmapped
flaky,flaky,不靠谱的 / 经常取消的,Unclassified,1,1,Unmapped
grandest,grandest,最宏大的 / 极其壮丽的,Unclassified,1,1,Unmapped
harsh,harsh,严酷恶劣的,Unclassified,1,1,Unmapped
immeasurable,immeasurable,无法估量的 / 极致的,Unclassified,1,1,Unmapped
miraculously,miraculously,奇迹般地,Unclassified,1,1,Unmapped
racist,racist,种族歧视的,Unclassified,1,1,Unmapped
regrettably,regrettably,遗憾地 / 抱歉,Unclassified,1,1,Unmapped
wasbeautiful,wasbeautiful,美丽动人的（美感）,Unclassified,1,1,Unmapped
whelmed,whelmed,被深深震撼淹没的,Unclassified,1,1,Unmapped
worthful,worthful,物有所值的,Unclassified,1,1,Unmapped
zing,zing,刺激快感,Unclassified,1,1,Unmapped
