word,chinese_translation,affect_type,stage_origin,frequency_2500,review_count_2500,example_context
easy,轻松的 / 省心的,E1_E2_Candidate,Stage 1 (500 Discovery),111,105,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes,..."
interesting,引人入胜的 / 趣味盎然的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),98,93,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
stunning,令人目眩震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),73,72,"review_1a40b7366c1df323a2059968 :: Captain Jack was wonderful as he flew us over the Grand Canyon. The tour had an audio component, which was just informative enough but not overdone. The views were stunning and tru..."
happy,高兴的 / 快乐的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),71,69,"review_50ad674985c5646672bc62e8 :: We dealt directly wit Taquan Air by email to book this rather than through our ship. Much cheaper and really easy to do, they are really easy to deal with directly and are happy to..."
kind,亲切的 / 友善的,E1_E2_Candidate,Stage 1 (500 Discovery),68,65,review_e55f985b9a9c0b8f6f16b85a :: Really great flight with views of humpback one way and mountains the other. Ex navy pilot so in good hands. The bear watching was a short 10 min walk through the rain forest with M...
cool,酷的 / 爽快的,E1_E2_Candidate,Stage 1 (500 Discovery),66,60,"review_0007fe1c2b3216a8645c4245 :: After being in Alaska for about a week, we were really looking forward to our float plane ride - as we had already seen so many fly by.  We had an absolutely perfect day for flying..."
outstanding,杰出出色的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),66,61,review_f4707f9a700067a778a5ea66 :: Our pilot Mike was an excellent tour guide giving great detail behind the outstanding visual scenery.  The fjords are just unbelievably beautiful....
expensive,昂贵的 / 价格偏高的,E1_E2_Candidate,Stage 1 (500 Discovery),59,57,"review_ada23e30e9050b395a5e4949 :: I had done a flightseeing tour in Anchorage that was the highlight of my cruise ship trip to Alaska, that when we stopped in Ketchikan I wanted to do a seaplane tour as well.  This..."
special,特别的 / 珍贵的,E1_E2_Candidate,Stage 1 (500 Discovery),57,53,review_5acad42fcb96595910c9a410 :: Got a call a couple days before our flight saying we'd booked through a third party and our seats were actually not available.  WRONG.  We booked directly on Mavericks website and ...
bad,糟糕的 / 坏的,E1_E2_Candidate,Stage 1 (500 Discovery),56,53,review_07b74d25ca8cca39cb34a0be :: I did this excursion today on 06/20/2013 and I had a bad experience on this ride which I would like to share especially from the pilot of of our float plane.  First of all he tried...
nervous,紧张的 / 焦虑不安的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),53,49,review_af6e91837198d33f81e2790e :: We paid to get a ride on a 30 seater and were taken on the tarmac to a beater silver plane in the back. The plane had clank noises when turning on the runway. The pilot was reading...
enjoyable,令人愉快的 / 趣味盎然的,E1_E2_Candidate,Stage 1 (500 Discovery),52,51,"review_48c09089c16a76a76a7c28b4 :: Thoroughly enjoyable. Professional and pleasant. Took loads of photos and got great views, was able to properly appreciate the scale of the Grand Canyon..."
gorgeous,极其漂亮的 / 绚丽的,E1_E2_Candidate,Stage 1 (500 Discovery),51,50,review_683e95f01306eac2d85eff49 :: It has always been my dream to take a flight seeing tour with a glacier landing and man-oh-man did K2 deliver!  We had a gorgeous clear day to see Mt McKinley in all its glory.  K2...
unique,独一无二的 / 独特的,E1_E2_Candidate,Stage 1 (500 Discovery),49,46,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
disappointed,感到失望的 / 遗憾的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),48,48,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
fabulous,绝妙的 / 极好的,E1_E2_Candidate,Stage 1 (500 Discovery),47,46,review_cee3f2a03829a94fe1a6a788 :: Nate was a great pilot...full of friendliness and information.  He and Ray weren't sure it was a good enough day to fly in terms of views so they let us decide if we wanted to go w...
scenic,风景优美的 / 宜人的,E1_E2_Candidate,Stage 1 (500 Discovery),47,40,"review_07a4d180b1c3927f6d90e08e :: Booked direct, over two months in advance. With only a couple hours to go before our flight they tell us it's cancelled, since not enough people signed up for the time slot. They o..."
unforgettable,令人难忘的 / 铭心的,E1_E2_Candidate,Stage 1 (500 Discovery),44,44,"review_6fbeaf457ee807a3d63481cd :: This was the once-in-a-lifetime trip for my wife and son to see Mt. McKinley/Denali and we had an AWESOME time.  The pilot, Pat A., had over 17,000 flight hours and made sure we we..."
magnificent,壮丽的 / 宏伟震撼的（Awe）,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),42,42,review_fea58727faaa3a0887fe14ea :: We had a very short time to explore the Grand Canyon. We decided to take the early flight and were completely satisfied in every respect. Of course the views were absolutely magnif...
plenty,丰富的 / 充足的,E1_E2_Candidate,Stage 1 (500 Discovery),37,36,review_4f85017b72dc884c2686a906 :: Matt was a great pilot and seemed to know the Otter we were flying in. The weather could have been better but I could still see how massive Denali was close up. It was a great expe...
sick,晕机的 / 身体不适的,E1_E2_Candidate,Stage 1 (500 Discovery),37,32,review_6e1b32b84859070da88e0d06 :: Absolutely awesome!!!  My wife and I went back and forth over the cost and then we decided to just do it.  All of us loved it.  Kids had a blast.  The terminal/main building is ver...
unbelievable,难以置信的 / 震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),37,37,"review_f5ca1940bb4b3b4a6ade99fa :: Trip Advisor review

Our family group of 5 decided to take the Floatplane bear watching shore excursion.   It was a bit pricey but we expected it because you’re flying in a floatpl..."
lovely,令人愉悦的 / 可爱的,E1_E2_Candidate,Stage 1 (500 Discovery),36,33,"review_71241e031e521f6c6963b901 :: I am terrified of flying and was really dreading the Grand Canyon tour.
 As we drove to Boulder airport I was becoming more and more terrified. As I walked into the airport a lovel..."
hard,困难的 / 艰辛的,E1_E2_Candidate,Stage 1 (500 Discovery),35,34,"review_d885e5c4d3d84166ffc7048f :: Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circu..."
awe,敬畏 / 震撼,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),33,33,"review_e8dd7bda2152a71502ffa8b8 :: Leann gave us a memorable trip around Denali complete with a glacier landing in Don Sheldon Amphitheater.  Sunny, warm, awe inspiring trip!  Tasted some glacier ice.

The entire st..."
courteous,礼貌的 / 谦逊有礼的,E1_E2_Candidate,Stage 1 (500 Discovery),33,32,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
incredibly,难以置信地 / 极其,E1_E2_Candidate,Stage 1 (500 Discovery),33,31,review_942965db6b3bbf8f44f75b47 :: Taquan Air Tours was the perfect place to book a Misty Fjords flightseeing trip. Where other than Alaska can you take the opportunity to tour via a float plane. The views were spec...
exceptional,卓越的 / 杰出的（顶级评价）,E1_E2_Candidate,Stage 1 (500 Discovery),32,32,"review_e01e7e33a2e53a8b8dad0eb6 :: This was the best part of our Alaskan cruise. The float plane trip was exceptional,  but the walk through the woods and viewing the bears from a platform was the most thrilling exp..."
phenomenal,现象级震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),32,31,review_ed42ef9dc4fa813cfcacdfdb :: My family of 4 did this tour last week and were beyond impressed.  We opted for Maverick because of their fleet of newer helicopters with ample windows spanning down to the floor i...
pleasant,令人愉快的 / 宜人的,E1_E2_Candidate,Stage 1 (500 Discovery),32,32,"review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to beco..."
welcome,受欢迎的 / 感受温暖的,E1_E2_Candidate,Stage 1 (500 Discovery),32,31,"review_9b9e6f556431a38c9b5abc2d :: Everything was perfect!  The welcome made by a lovely lady and a very professional Jeff pilot, kind and reassuring. Competent as a pilot but also very knowledgeable throughout the ..."
cheaper,更实惠的 / 较便宜的,E1_E2_Candidate,Stage 1 (500 Discovery),30,30,"review_50ad674985c5646672bc62e8 :: We dealt directly wit Taquan Air by email to book this rather than through our ship. Much cheaper and really easy to do, they are really easy to deal with directly and are happy to..."
funny,幽默风趣的,E1_E2_Candidate,Stage 1 (500 Discovery),30,29,"review_ef54bc7bc3c4866c7f29937f :: Tour guide was energetic, informative and funny! Got to experience more than just VNP. Great experience! Worth the price...."
unfortunately,不幸的是 / 遗憾的是,E1_E2_Candidate,Stage 1 (500 Discovery),30,29,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
competent,称职的 / 有能力的,E1_E2_Candidate,Stage 1 (500 Discovery),26,26,"review_9b9e6f556431a38c9b5abc2d :: Everything was perfect!  The welcome made by a lovely lady and a very professional Jeff pilot, kind and reassuring. Competent as a pilot but also very knowledgeable throughout the ..."
fully,完全地 / 充分地,E1_E2_Candidate,Stage 1 (500 Discovery),26,26,"review_0f50928b644eab8e69fd4905 :: I need to reschedule the flight for 3 times because of Glacier Landing. When I asked a front desk person, when was the last glacier landing, she did not able to answer me which is ..."
patient,耐心的 / 体贴的,E1_E2_Candidate,Stage 1 (500 Discovery),26,23,"review_98e74ad69a88380b69ce727c :: The tour guide Eric was not only friendly, knowledgeable, and patient, but also a skillful pilot. With his incredible skill, we were able to witness the sea cliff from an impeccabl..."
fortunate,幸运的 / 幸运地,E1_E2_Candidate,Stage 1 (500 Discovery),24,24,"review_bab9df7e8bd9919aeef4816d :: The Grand Canyon scenery was absolutely spectacular from the ground so we were expecting even better views from the helicopter flight over the Grand Canyon. However, unfortunately ..."
ready,准备就绪的 / 心安的,E1_E2_Candidate,Stage 1 (500 Discovery),24,22,review_6e1b32b84859070da88e0d06 :: Absolutely awesome!!!  My wife and I went back and forth over the cost and then we decided to just do it.  All of us loved it.  Kids had a blast.  The terminal/main building is ver...
efficient,高效省心的,E1_E2_Candidate,Stage 1 (500 Discovery),23,23,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
flexible,灵活的 / 弹性的,E1_E2_Candidate,Stage 1 (500 Discovery),23,22,review_8b4c172e7b644d8c4b931cc0 :: We got of our cruise ship early and were able to purchase our trip from one of the operators at the end of the dock.  Apparently they sell what the cruise lines have been unable to...
quiet,宁静的 / 幽雅安静的,E1_E2_Candidate,Stage 1 (500 Discovery),23,23,review_a158a996fb85a211763435ea :: The flight itself is really scenic. I liked that we landed in the water about halfway through and could walk out on the sides of the plane to take in the view. Pilot was good but d...
superb,极好精湛的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),23,23,review_4ed9789654d1231bc278b4e3 :: Exceptional sights of majestic peaks and valleys.  Weather conditions did not permit viewing of Denali or the glacier landing.  But the sights afforded by the Ruth Glacier were sim...
terrific,极好的 / 太棒了,E1_E2_Candidate,Stage 1 (500 Discovery),23,21,"review_371d97ab086d05f4b8dd720f :: We had a wonderful family flightseeing trip with K2. Much to our and our kids' disappointment, our morning flight was initially cancelled because of smoke from forest fires. But K2..."
afraid,害怕的 / 恐惧的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),22,20,"review_a261345648e411dbe1e79210 :: My husband and I took the flight with glacier landing.I am afraid to fly but the flight and landings were so smooth. The pilot  CHIP SONN was so friendly and knowledgeable, he real..."
confidence,信心 / 确信,E1_E2_Candidate,Stage 1 (500 Discovery),22,21,"review_da9fe4b5f3a172a9954785e5 :: Myf irst time in a helicopter. I was nrevous. Our pilot, Quincy, allayed all my fears with his quiet confidence and then very obvious expertise, 
It was a truly wonderful experienc..."
excited,兴奋的 / 激动的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),22,20,"review_aad1475f0d24f59cc1b5bc8b :: I booked a flight with Friday Harbor Seaplanes from San Juan Island to Seattle, I was excited for the adventure & thought a flight on a seaplane would be a fun way to end my trip t..."
wrong,出差错的 / 错误的（负面体验）,E1_E2_Candidate,Stage 1 (500 Discovery),22,22,"review_9f9d62b99552657a136a55ab :: Part of our family vacation this year was an overnight trip to San Juan Islands, and what better way to get there and back than a seaplane!  This was awesome.  The flight is about ..."
relaxed,放松的 / 从容的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),21,21,"review_a56c790aee69c2829442e4c8 :: Best experience of my trip. Daniel was our pilot. He was just as excited as the rest of us. Before we took off, the whole staff was informing us that the clouds were coming in and ..."
entertaining,引人入胜生动有趣的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),20,20,review_df128e035c2e2f5109e3638c :: My husband and I did this tour something we’ve wanted to do and are so happy we did it! The helicopter tour out of the Grand Canyon national park airport is the way to go. The view...
interested,感兴趣的 / 充满好奇的,E1_E2_Candidate,Stage 1 (500 Discovery),20,19,review_3ba1137cb1b4e9207840a231 :: We found a really nice fishing experiance in Talkeetna.Starting with Molly the office manager to the pilots and guides. All were friendly and accomodating. Yes we did catch many fi...
perfectly,完美地 / 无可挑剔地,E1_E2_Candidate,Stage 1 (500 Discovery),20,20,"review_a7368b502923fca015488011 :: Such an amazing experience! Can’t recommend this enough, you will see the island like no other! My boyfriend and I went together, he’s 6’8 and we were a little nervous about his si..."
fine,良好的 / 优秀的,E1_E2_Candidate,Stage 1 (500 Discovery),19,18,"review_0f50928b644eab8e69fd4905 :: I need to reschedule the flight for 3 times because of Glacier Landing. When I asked a front desk person, when was the last glacier landing, she did not able to answer me which is ..."
smoother,更平稳的 / 更顺畅的,E1_E2_Candidate,Stage 1 (500 Discovery),19,19,"review_f5ca1940bb4b3b4a6ade99fa :: Trip Advisor review

Our family group of 5 decided to take the Floatplane bear watching shore excursion.   It was a bit pricey but we expected it because you’re flying in a floatpl..."
comfort,舒适 / 宽慰安心,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,"review_7e4c769eacb09e8be1a32d03 :: We have flown with several different services to Roche Harbor on San Juan Island
and we prefer Friday Harbor Seaplanes : the team are all very personable, helpful,
accomodative to ..."
dream,梦寐以求的,E1_E2_Candidate,Stage 1 (500 Discovery),18,16,review_683e95f01306eac2d85eff49 :: It has always been my dream to take a flight seeing tour with a glacier landing and man-oh-man did K2 deliver!  We had a gorgeous clear day to see Mt McKinley in all its glory.  K2...
forward,期待（look forward）,E1_E2_Candidate,Stage 1 (500 Discovery),18,18,"review_6c89ecdf05add32f2e5cb9a7 :: I was able to squeeze in a quick tour at the end of a two-week trip after my flight home was delayed a day, and I'm glad that it worked out - this tour was one of the highlights of..."
blessed,感到有福的 / 幸运的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),17,17,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
brilliant,璀璨的 / 出色的,E1_E2_Candidate,Stage 1 (500 Discovery),17,16,"review_979ebaf5ccd3b94c095ddf1a :: We picked Kauia destination for our honeymoon, but as far as we wanted to make the trip brilliant we came to Kauai un prepared about doing an Air tour ! We were worried we wouldn't..."
exactly,精准地 / 正是,E1_E2_Candidate,Stage 1 (500 Discovery),17,17,review_5acad42fcb96595910c9a410 :: Got a call a couple days before our flight saying we'd booked through a third party and our seats were actually not available.  WRONG.  We booked directly on Mavericks website and ...
humor,幽默感,E1_E2_Candidate,Stage 1 (500 Discovery),17,17,review_bc5587ba8b5a0ff184eedaa0 :: Steve is such a wonderful guy and a great pilot.  He has a great sense of humor and you can tell that he loves what he does!  He takes time to get to know the people on the flight ...
pleased,感到满意的,E1_E2_Candidate,Stage 1 (500 Discovery),17,14,review_208f19d09967b7a1a0022825 :: This was a great way to see the island of Kauai. It's probably better to become a little familiar with the island before taking the flight though. It could be hard to see some of t...
reasonable,合理的 / 公道的,E1_E2_Candidate,Stage 1 (500 Discovery),17,17,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
thorough,细致周到的,E1_E2_Candidate,Stage 1 (500 Discovery),17,17,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
thrilled,极度兴奋的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),17,16,"review_123bf9f58334923a62ba4371 :: We love this air charter tour company and have taken their tours several times while on Kauai. Most of Kauai is not viewable because of the terrain, so seeing the island by air is ..."
cheap,便宜的 / 廉价的,E1_E2_Candidate,Stage 1 (500 Discovery),16,16,"review_8526d5406704b59e5a5405e4 :: If anyone gets the chance to do the Grand Canyon, please do it. I took the family over this year and was simply amazing. To have my wife and kids there was simply incredible to say..."
honest,诚实的 / 坦诚的,E1_E2_Candidate,Stage 1 (500 Discovery),16,14,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
honestly,老实说 / 真诚地,E1_E2_Candidate,Stage 1 (500 Discovery),16,15,"review_d885e5c4d3d84166ffc7048f :: Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circu..."
majestic,雄伟的 / 壮丽的,E1_E2_Candidate,Stage 1 (500 Discovery),16,16,"review_ff53fc07f1b4dad74f413aa0 :: Wow...hard to explain such a mind blowing experience. I am not a person with a lack of things to say, but this trip left me speechless.  The feeling of being so close to these maje..."
polite,礼貌的 / 客气的,E1_E2_Candidate,Stage 1 (500 Discovery),16,16,"review_cbe4d099bc688920d0a3a2b9 :: My two sisters and I planned a lovely, activity filled Christmas in Kauai. We picked this company for our air tour because of the great reviews. Although the flight was nice (Marcu..."
willing,乐意的 / 愿意的,E1_E2_Candidate,Stage 1 (500 Discovery),16,16,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
apprehensive,忧虑的 / 不安的,E1_E2_Candidate,Stage 1 (500 Discovery),15,15,review_8de5093de03f104bbd286daa :: If you're thinking of visiting the Grand Canyon this is not to be missed. I'm a nervous flyer so I was a little apprehensive about booking a helicopter flight but there was nothing...
difficult,困难的 / 令人头疼的,E1_E2_Candidate,Stage 1 (500 Discovery),15,15,"review_53ff5143a41d862350d136a5 :: Having booked a week in Las Vegas over the 4th July weekend, one of our top priorities was to get to see the Grand Canyon. We originally planned on hiring a car and driving there, ..."
flawless,无瑕的 / 完美的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),15,15,"review_5e434da02b38cf19550a807e :: There are a few things that set this trip apart for us;
1.) Our pilot, Chris, gave us one of the smoothest flights I have ever been on (sorry Delta).  I wasn't necessarily expectin..."
impressive,令人印象深刻的,E1_E2_Candidate,Stage 1 (500 Discovery),15,15,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
pleasure,乐趣 / 愉悦,E1_E2_Candidate,Stage 1 (500 Discovery),15,15,review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish. Before traveling to...
concern,担忧 / 关切（焦虑感）,E1_E2_Candidate,Stage 1 (500 Discovery),14,14,review_14fb1c381a6cd986fd64e61c :: We spent two days in Talkeetna hoping to do a flight around Mt. Mckinley and do the glacier landing.  From the time I made reservations (months in advance) I was completely impress...
ideal,理想的 / 完美的,E1_E2_Candidate,Stage 1 (500 Discovery),14,12,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
