word,chinese_translation,affect_type,surface_forms,coarse_pos,frequency,review_count,example_context
easy,轻松的 / 省心的,E1_E2_Candidate,easy,ADJ|NOUN,34,31,"review_353636e7a5b2962a9d433033 :: I get motion sickness pretty easy but this was not an issue for me.
review_6156ccd88f392b21de3b4908 :: The check in was very easy and the waiting room was decorated very nice with all kinds of memorabilia.
review_bd821a97ad719aeeebde185a :: The reservation process was easy and they were very flexible in order to accommodate our schedule.
review_123bf9f58334923a62ba4371 :: The flight leaves from the Lihue airport - very easy to find their hanger, just past the main terminal.
review_30ccaf6bc2fd2b6926aa389d :: They were also easy to get a hold of via phone."
perfect,完美的 / 无可挑剔的,E1_E2_Candidate,perfect,ADJ|NOUN,34,31,"review_b79c6cfcd7b2a3c981b7475b :: I've been wanting to fly on a seaplane for ages, and when my parents came to visit it seemed like a perfect time to check it off the list.
review_347a597fb8c019adff981117 :: The entire day was perfect.
review_3e49c04ea9e77e714a81cdfb :: It was all green, the water was blue, everything was perfect.
review_3e49c04ea9e77e714a81cdfb :: It was perfect.
review_e265784b06b03e9657bda9ff :: Everywhere I looked was a picture perfect frame."
loved,热爱 / 极为喜爱,E1_State (Direct Internal Affective State),loved,VERB,33,32,"review_7e2201b48b681475df75ef1a :: It was clear he loved his job!
review_f0ee2cd886f1308d732e265f :: My husband loved the experience in the small 1965 plane and my teens took tons of photos!
review_6857382b853cc9b1e8671ff9 :: We loved every minute of this!
review_f1afb11c14a20df3c0e654e1 :: We loved our K2 experience!
review_4af2d9822d8f9626565e416d :: We all loved every minute of our time."
comfortable,舒适的 / 安心的,E1_E2_Polysemous (State & Appraisal),comfortable,ADJ,32,29,"review_fd7ebcc7f5e93d96ece3c7ac :: I was a little nervous, never flown in a small plane but Kim was great, made us all very comfortable.
review_082e1f27aa3bb895882c5db8 :: He was so personable that he made us feel comfortable and relaxed (definitely helped me because I easily get motion-sickness).
review_123bf9f58334923a62ba4371 :: Wings Over Kauai offers a comfortable air tour of the entire island with spectacular views of the most popular and breathtaking sites the island has to offer, including: waterfalls, coastlines, Waimea Canyon, the inner island, sugar plantations, resort areas, and open sea.
review_a49c3b4b417661efc807e243 :: You will always get a window seat on this flight, and you will get to see everything there is to see in Kauai on a very comfortable, easy flight.
review_3be86b281748fcad0f0f0b34 :: The office is very nice with comfortable seating, gift shop, snack bar, clean restrooms."
safe,安全放心的 / 感到安心平稳,E1_State (Direct Internal Affective State),safe,ADJ/NOUN,32,27,"review_7b76705a2666fc9f007a68b5 :: This very professional company goes out of their way to satisfy customers while still being safe.
review_de10a083dc11cad2e6d64839 :: Felt safe.
review_254f46e4a5fb0f6c7e0c50cd :: The pilot, Eric, was skillful and we felt safe.
review_254f46e4a5fb0f6c7e0c50cd :: Again, it was safe, but the plane could at least use a new coat of paint, the seats need to be re-upholstered and the interior needs a good cleaning/vacuuming and wipe down.
review_71241e031e521f6c6963b901 :: After I checked in she came back, sat down next to me, explained that the plane is very safe, the pilots are fully qualified, if the conditions aren't safe they won't fly etc."
safety,安全保障 / 信任与安心感,E1_State (Direct Internal Affective State),safety,ADJ/NOUN,30,24,"review_8b4c172e7b644d8c4b931cc0 :: After a safety briefing we met our pilot and boarded our sea plane.
review_4899b603a9d2f1beb416a798 :: This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to become fearful of their personal safety.
review_f1afb11c14a20df3c0e654e1 :: The safety of their customers has the highest importance.
review_772ff94294876fd4aa1756db :: All about safety.
review_50ad674985c5646672bc62e8 :: They came picked us up and took us out to their base about ten minutes away where we got a short safety briefing and then we were off -Misty Fjords here we come."
incredible,不可思议的 / 惊叹的,E2_Appraisal (Stimulus/Service Attribute),incredible,ADJ,29,27,"review_1b882aa7c72201a6725b9fe7 :: Incredible views of Denali and other peaks.
review_6857382b853cc9b1e8671ff9 :: It was incredible!
review_f1afb11c14a20df3c0e654e1 :: an incredible memory that you will always remember.
review_f1afb11c14a20df3c0e654e1 :: It was incredible.
review_98e74ad69a88380b69ce727c :: With his incredible skill, we were able to witness the sea cliff from an impeccable perspective."
enjoyed,享受 / 感到喜爱,E1_State (Direct Internal Affective State),enjoyed,VERB,24,24,"review_8f5e0f00afe0371683965f83 :: I really enjoyed the experience, especially the unexpected ginger chews, kukui nut lei, and photographs they gave us!
review_d780f91654b1c9f99a2a236a :: We so enjoyed doing some Christmas shopping in downtown Moab!
review_e4cd1a8f00e8148f6f1f053c :: I was a little nervous about going on a small plane, but once we got started I forgot all that and enjoyed the ride.
review_e19f4508602ecbfcd0a59754 :: I really enjoyed the tour!
review_993985c342753f81a2cd36de :: We totally enjoyed the kindness and trust in Bruce and Ellen."
interesting,引人入胜的 / 趣味盎然的,E2_Appraisal (Stimulus/Service Attribute),interesting,ADJ,23,23,"review_291988db94de25fedef72be3 :: I cannot say enough about how fun and interesting this flight was to see so much of the island and to get such a detailed commentary from Kevin!
review_b79c6cfcd7b2a3c981b7475b :: There was enough info to be interesting without being overbearing, so we could still enjoy the experience.
review_7e2201b48b681475df75ef1a :: He told facts about the park as well as interesting historical facts.
review_fd7ebcc7f5e93d96ece3c7ac :: He pointed out all the interesting features and had lots of great stories about the various sights and the old legends that went with them.
review_e68e4472a8fa5075641e96df :: They had information about the plane printed up and it was interesting to find out about the history of the plane we were flying on."
lovely,令人愉悦的 / 可爱的,E1_E2_Candidate,lovely,ADJ|ADV,20,17,"review_cbe4d099bc688920d0a3a2b9 :: My two sisters and I planned a lovely, activity filled Christmas in Kauai.
review_3b2f354df3d8b44c9d34a54a :: We had a lovely time with Bruce.
review_123bf9f58334923a62ba4371 :: Wings Over Kauai also gifts you with a lovely DVD as a thank you gift for taking their flight.
review_e2dc2a31bed85af6df3536af :: It was a lovely sunny day.
review_71241e031e521f6c6963b901 :: As I walked into the airport a lovely lady who worked there greeted us and I started crying I was that scared."
nervous,紧张的 / 焦虑不安的,E1_State (Direct Internal Affective State),nervous,ADJ,17,15,"review_fd7ebcc7f5e93d96ece3c7ac :: I was a little nervous, never flown in a small plane but Kim was great, made us all very comfortable.
review_a7368b502923fca015488011 :: My boyfriend and I went together, he’s 6’8 and we were a little nervous about his size, but he fit perfectly and we had the best time!
review_bd821a97ad719aeeebde185a :: This is a great alternative for people who are nervous about helicopters (like me) or who have weight limits and cannot take a helicopter.
review_2a211e66566d9506094042c7 :: I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot was GREAT!
review_af6e91837198d33f81e2790e :: If you ever felt nervous about turbulence on a big commerical plane you will contemplate your existence bouncing around in turbulence in a 8 seater, especially over the canyon."
kind,亲切的 / 友善的,E1_E2_Candidate,kind,NOUN,16,16,"review_353636e7a5b2962a9d433033 :: Before boarding the flight, I asked if I could sit up front and the pilot said yes saying ""its kind of a 'whoever asks first' can sit in the front"".
review_7b8fca9fb1b20483fadf5af6 :: This was my first experience of this kind.
review_4af2d9822d8f9626565e416d :: Our pilot, Leanne, was so kind and friendly and told us so many cool things about Alaska and the beautiful scenery and mountain exploration.
review_5af0aa2ddab59ab12c933bdc :: Gina was very kind and helpful in the office.
review_50ad674985c5646672bc62e8 :: They kind of look at you and tell you where to sit in the plane based on your size but everyone had a primo seat - that way the plane flies flat and straight, they say."
enjoyable,令人愉快的 / 趣味盎然的,E1_E2_Candidate,enjoyable,ADJ,15,15,"review_2e2fd5b9ad85c6bccb8fcda5 :: Very enjoyable in an 8-seater plane allowing everyone to have a window seat.
review_bc5587ba8b5a0ff184eedaa0 :: He takes time to get to know the people on the flight and really makes the experience that much more enjoyable.
review_41e89b2bd2015171811a3aad :: Our pilot Eddie provided a detailed explanation of everything we were viewing and made the flight really enjoyable.
review_4252c374520394a13c38d9d5 :: His courteous and easy going style made this trip enjoyable, interesting, and fun.
review_337148ea4fdca09d1b9bbdc9 :: Thanks to Jill for working with us and to Nate for his very enjoyable trip!"
expensive,昂贵的 / 价格偏高的,E1_E2_Candidate,expensive,ADJ,15,13,"review_b76e6c2bc278477c91d37c62 :: We made the best of a pretty disappointing and unexpectedly expensive situation, but we will not be trusting TripAdvisor descriptions in the future.
review_36ec0ca30c015a4a8e0e9330 :: Expensive but definitely worth it!
review_f1afb11c14a20df3c0e654e1 :: The trip is expensive for sure.
review_f1afb11c14a20df3c0e654e1 :: Yes, this is expensive.
review_5d1ed7c73f280b31c37e8a26 :: Was it expensive?"
sick,晕机的 / 身体不适的,E1_E2_Candidate,sick,ADJ|NOUN,15,13,"review_082e1f27aa3bb895882c5db8 :: Saw they used those small prop planes (good for those that get motion-sick) and then I saw they had a combo tour.
review_3a07e05594205653b0fa7e73 :: Before getting on a Cessna, so worried about airplane sick,,,.
review_f486131a76d495cf9d39fbf2 :: We did not get sick but the flight was bumpy at times due to the wind.
review_cd27921d3895fc595fd53af3 :: There was a little turbulence in the air but not so much that it made anyone sick and one in our group was prone to the that.
review_6e1b32b84859070da88e0d06 :: If you get motion sick easily, you may find the ride too much, but not people wouldn't be bothered at all."
special,特别的 / 珍贵的,E1_E2_Candidate,special,ADJ,15,15,"review_a16674769364bddb39438f8b :: By the end of this very special day, I couldn’t believe the dent I had put in my Bucket List.
review_082e1f27aa3bb895882c5db8 :: I wanted to do something special for my girlfriend's birthday.
review_c0eca4e9ffc9c70d92b13055 :: This was a flight for our Anniversary and what a special flight it was!
review_123bf9f58334923a62ba4371 :: My spouse and I will be watching our videos (both theirs and those that we took in flight) many times to remember this special trip.
review_5c8c6ffd9af021cbb4bdebd5 :: Envi Adventures truly has something special going on."
cool,酷的 / 爽快的,E1_E2_Candidate,cool,ADJ|ADV|NOUN,14,13,"review_4af2d9822d8f9626565e416d :: Our pilot, Leanne, was so kind and friendly and told us so many cool things about Alaska and the beautiful scenery and mountain exploration.
review_0007fe1c2b3216a8645c4245 :: It was a cool experience - but a bit disappointing.
review_30a4fe165d7e3a55f8e3db95 :: Landing on the glacier was really cool, as was walking around in a couple of feet of snow on the most quiet and serene place I've ever been.
review_064c82589dc9f15ceb99ed00 :: It’s such a cool perspective on the gorge.
review_064c82589dc9f15ceb99ed00 :: The pilot was so friendly with cool facts about the area."
happy,高兴的 / 快乐的,E1_State (Direct Internal Affective State),happy,ADJ,14,14,"review_bd821a97ad719aeeebde185a :: Since there was some rain in the forecast we decided to go that day, and we were happy we did.
review_4e12b4a1176793651a28a048 :: We were happy because we did want to have a glacier landing and we didn’t even ask, it was automatically done!
review_50ad674985c5646672bc62e8 :: Much cheaper and really easy to do, they are really easy to deal with directly and are happy to answer your email questions.
review_df128e035c2e2f5109e3638c :: My husband and I did this tour something we’ve wanted to do and are so happy we did it!
review_6a37a276cde42d2608622f3e :: There is a 30 minute flight available too but we were very happy with the longer flight."
disappointed,感到失望的 / 遗憾的,E1_State (Direct Internal Affective State),disappointed,ADJ|VERB,13,13,"review_1a179dde846fef68cb4332b2 :: I particularly wanted to fly in one of these radial engined Beavers and I wasn't disappointed.
review_942191570bc6c27e6f1ef0b4 :: I was extremely disappointed at this and had went to the office to file a complaint immediately after we got off.
review_867c2a2af7cf3033fc36828a :: Was disappointed that our pilot didn't give us any narration or information about the history and geography of the land and we were unable to ask or communicate with him as mics were not active.
review_9a6426dc1c3d9f04489aec57 :: I was disappointed at the overall blasé attitude of the pilot.
review_12906dbaf85aa756684ce4cf :: We wasn't disappointed."
unfortunately,不幸的是 / 遗憾的是,E1_E2_Candidate,unfortunately,ADV,13,12,"review_7e2201b48b681475df75ef1a :: Unfortunately, the morning of our tour it was rainy with low clouds.
review_c39dc7379a12552fa62d8ddd :: Unfortunately on the day of our trip temperatures at the base of the Canyon hit 47 degrees and the helicopter and boat trip had to be cancelled as it was too hot for the copters to gain the lift needed to take off.
review_6bbc264bc4a808a43fe95ceb :: Unfortunately, cloud cover prevented us from seeing any of the canyon as well as the ""Jurassic Park"" waterfalls.
review_4e12b4a1176793651a28a048 :: Unfortunately, the weather was not great on the day of our tour so they called us to tell us it was cancelled.
review_4e12b4a1176793651a28a048 :: Unfortunately, Denali was hiding in the clouds but the views of the other mountains was spectacular."
hard,困难的 / 艰辛的,E1_E2_Candidate,hard,ADJ|ADV|NOUN,11,11,"review_391296b7cc0f06b72663511f :: Each seat has a window and the pilot provides commentary and answers questions that are hard t pose as the mikes on the headsets don't work.
review_d885e5c4d3d84166ffc7048f :: It was raining really hard and super cloudy and they made no circumstances.
review_a6ad668389d1d7c4c1ecda23 :: It's hard to imagine another way to so fully appreciate the size of the canyon, and our pilot was able to point out a variety of interesting facts while answering questions throughout.
review_53ff5143a41d862350d136a5 :: We also learned the hard way, that it's sometimes difficult to extract yourself from the clutches of these agents, if they get even the slightest sniff of possibility that you might take your wallet or your credit card out.
review_83fe4d7e7dc015a14d52be74 :: The flight scenery is hard to convey with words."
thanks,感谢 / 致谢,E1_E2_Candidate,thanks,NOUN,11,11,"review_c6388dc2ce0d1b794c18df93 :: Thanks to you all.
review_2323283c585daf50d725d5e4 :: Thanks to the pilot Matt extra and so nice.
review_001714a98a28507f72d8be7d :: Thanks to the staff at Air Ventures for a great trip.
review_43ea85710b6216e626dd2867 :: Thanks Harry for a smooth flight and delightful information about the island.
review_4a193749e12297241be1dc4e :: Big big thanks to Everett at the office, a nice person who is always open to help tourists."
unique,独一无二的 / 独特的,E1_E2_Candidate,unique,ADJ,11,10,"review_a16674769364bddb39438f8b :: If you've ever wanted to enjoy a truly unique way to enjoy the magnificence of the Grand Canyon, Westwind is the way to go!
review_c42ba42468c6eebef97f3663 :: The landscape was so unique and IMHO is best appreciated from the air.
review_6498ce79fc0b9213c772e5fc :: The mixture of rain and sun brought out rainbows time and time again, including a circular rainbow which was so neat and unique.
review_910f36995494e03bebd4a468 :: The most unique aspect was Bruce's perspective on the flora, due to his extensive background in Agronomy.
review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had!"
incredibly,难以置信地 / 极其,E1_E2_Candidate,incredibly,ADV,10,10,"review_cbe4d099bc688920d0a3a2b9 :: It was incredibly rude and disrespectful of her to treat me in such a manner and I let her know.
review_f1afb11c14a20df3c0e654e1 :: The K2 Staff is incredibly relaxed, courteous, and well organized.
review_4ed9789654d1231bc278b4e3 :: We got to know her a little bit when she stepped in to drop us off at our hotel as her staff was incredibly busy (short staffed due to current COVID related issues).
review_232a87a44ddf7a8ae2f7daab :: We flew from the Grand Canyon airport and everything went like clockwork, BJ checked if he had anyone on board that was afraid of heights, and the trip was incredibly smooth, the helicopter had good visibility and seated 7 passengers though we only had 5 on our trip, an excellent insight into the canyon for our first glimpse.
review_942965db6b3bbf8f44f75b47 :: Also worth noting was office crew –they were incredibly organized from booking to drop off and even scheduled van pick up from my cruise ship."
pleasant,令人愉快的 / 宜人的,E1_E2_Candidate,pleasant,ADJ,10,10,"review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.
review_e68e4472a8fa5075641e96df :: The trip was pleasant.
review_c42ba42468c6eebef97f3663 :: The entire staff could not have been more pleasant.
review_7fa1e7da0ca539d45251b2af :: Our pilot, Max, was fantastic - very pleasant, informative, and professional.
review_48c09089c16a76a76a7c28b4 :: Professional and pleasant."
bad,糟糕的 / 坏的,E1_E2_Candidate,bad,ADJ,9,8,"review_07b74d25ca8cca39cb34a0be :: I did this excursion today on 06/20/2013 and I had a bad experience on this ride which I would like to share especially from the pilot of of our float plane.
review_07b74d25ca8cca39cb34a0be :: I forgot the name of the pilot but he was the oldest pilot in their team and it was my bad luck that I had to fly with him.
review_a56c790aee69c2829442e4c8 :: Turns out the clouds weren't as bad as they thought and we got to land.
review_e8603e3c4890b91887eed92a :: The trip was canceled due to bad weather on 13 Sep.
review_45e52ad80d6513a8e9531767 :: Highly recommended because my friends who did this trip from Las Vegas by driving themselves told me they spent a lot of time driving in bad highways stressed and they had to book a hotel inside the park to have time to visit it, nevertheless if you go by plane or helicopter you will arrive faster and enjoy one entire day with the best views of Grand Canyon."
fabulous,绝妙的 / 极好的,E1_E2_Candidate,fabulous,ADJ,9,9,"review_6342f02236b5c440463f7a38 :: Absolutely amazing and our pilot was fabulous.
review_53ff5143a41d862350d136a5 :: It was a fabulous journey which also took in the Hoover Dam and it's new road bridge, as well as Lake Mead.
review_cee3f2a03829a94fe1a6a788 :: It turned out to be fabulous!
review_6466b9ab383b5a4f1fdda53c :: Our recent Seaplane Adventure was fabulous!
review_2618b3d35d2154378d6e24e5 :: It was a fabulous day for weather."
funny,幽默风趣的,E1_E2_Candidate,funny,ADJ|NOUN,9,9,"review_082e1f27aa3bb895882c5db8 :: The pilot was nice, friendly, funny and best of all knowledgeable.
review_6a37a276cde42d2608622f3e :: He was knowledgeable, funny and made the flight extra memorable.
review_3a562693d0a814861060b2cf :: Our tour guide was funny, informative and very knowledgeable!
review_d6633755ab0fe56676302484 :: Bryan, our pilot, was funny and a pleasure and Pua in reception was very sweet and helpful.
review_ef54bc7bc3c4866c7f29937f :: Tour guide was energetic, informative and funny!"
unforgettable,令人难忘的 / 铭心的,E1_E2_Candidate,unforgettable,ADJ,9,9,"review_26666fb5871f5009a89cc1e1 :: From start to end, Laura (our pilot) made our sunset flight an unforgettable experience.
review_2323283c585daf50d725d5e4 :: We keep an unforgettable memory
review_a70969c5180dcff4b504e3f5 :: Unforgettable scenery.
review_6fbeaf457ee807a3d63481cd :: Thanks for an unforgettable experience!
review_00deb5b5ce64791d3809151f :: Treat yourself to unforgettable views and book a tour."
interested,感兴趣的 / 充满好奇的,E1_E2_Candidate,interested,ADJ,8,8,"review_3ba1137cb1b4e9207840a231 :: I would highly recoomend this compant to any interested in a float plane trip out of Talkeetna.
review_af08902c4c1b7326756e9e93 :: We could see other pilots escorting their customers right upto the office however our pilot was simply not interested.
review_feb8e8b8f877bcebb986186f :: If you're interested in seeing how the Iditarod really works this is absolutely the best thing you can do outside of volunteering and being part of the race yourself.
review_01947c281697b80abc4bbfae :: Both Gy and Ellen make you feel very welcome and they are genuinely interested in each passenger.
review_f636b160dcd5b8cb35245d33 :: They were very patient with our 13 yr old who was more interested in flying than the views and although he took more time chatting they happily accommodated him."
plenty,丰富的 / 充足的,E1_E2_Candidate,plenty,NOUN|ADJ|ADV,8,8,"review_10e68422b6a984d268d5ab67 :: the tour I wanted - as a solo traveler got to sit in the right-hand seat with two other couples behind us - after departing the airport you do a (general) clockwise circle around the island affording plenty of opportunities to see Kipu Kai (the beach from the film ""Six Days and Seven Nights""), the Jurassic Park waterfall & Hanapepe Valley, Wiamea Canyon & the Na Pali Coastline, and Hanalei Bay.
review_4e12b4a1176793651a28a048 :: We had plenty of time to walk on the glacier and take pictures.
review_6695b050bf998824d236b151 :: There are plenty of other taxi services in Talkeetna.
review_e83a9bc682b158918ad0f243 :: Despite arriving 30 mins late we were made to feel very relaxed, and despite having originally booked a 90 minute flight, due to the late arrival it was reduced to 60 mins with no charge and it was still plenty of time to see all the sights.
review_4f85017b72dc884c2686a906 :: The hosting center at Tolkeetna airport is spacious, new, comfortable with plenty of bathrooms."
relaxed,放松的 / 从容的,E1_State (Direct Internal Affective State),relaxed,ADJ|NOUN,8,8,"review_082e1f27aa3bb895882c5db8 :: He was so personable that he made us feel comfortable and relaxed (definitely helped me because I easily get motion-sickness).
review_da8299d8fba78458a1318905 :: This is the relaxed, scenic way to raft the river.
review_f1afb11c14a20df3c0e654e1 :: The K2 Staff is incredibly relaxed, courteous, and well organized.
review_a56c790aee69c2829442e4c8 :: Everyone we met seemed to love their job and it makes you feel relaxed seeing that.
review_e83a9bc682b158918ad0f243 :: Despite arriving 30 mins late we were made to feel very relaxed, and despite having originally booked a 90 minute flight, due to the late arrival it was reduced to 60 mins with no charge and it was still plenty of time to see all the sights."
scenic,风景优美的 / 宜人的,E1_E2_Candidate,scenic,ADJ|NOUN,8,8,"review_da8299d8fba78458a1318905 :: This is the relaxed, scenic way to raft the river.
review_a158a996fb85a211763435ea :: The flight itself is really scenic.
review_5c8c6ffd9af021cbb4bdebd5 :: We did the wonderful waterfalls scenic flight in early February and could not recommend it more.
review_176ad8eab21eb292f98accba :: Along with a smooth and scenic flight, he provided commentary on the landmarks and history of the area.
review_f120ba1026156b2d093f0ad2 :: Small plane scenic tour on the Hawaii Island of Kauai was one of the highlights of our cruise around the Islands in March 2019."
unable,无法的 / 无能为力的,E1_E2_Candidate,unable,ADJ,8,7,"review_8b4c172e7b644d8c4b931cc0 :: Apparently they sell what the cruise lines have been unable to sell, so are able to sell unsold seats at a discount.
review_772ff94294876fd4aa1756db :: We were unable to land on the glacier and a credit was already there.
review_867c2a2af7cf3033fc36828a :: Was disappointed that our pilot didn't give us any narration or information about the history and geography of the land and we were unable to ask or communicate with him as mics were not active.
review_07a4d180b1c3927f6d90e08e :: They offered times later in the day but we had so little warning that we were unable to make the last minute schedule change.
review_92db6c4ddc4f03ed93a04bac :: We did the Scenic Flight with Glacier Landing however due to the weather we were unable to do the Glacier Landing which was absolutely devastating."
concern,担忧 / 关切（焦虑感）,E1_E2_Candidate,concern,NOUN,7,6,"review_f1afb11c14a20df3c0e654e1 :: So weather was a possible concern.
review_30a4fe165d7e3a55f8e3db95 :: There was never a concern for safety.
review_d6633755ab0fe56676302484 :: The views were awe inspiring, the narration extremely informative, comfort and safety an utmost concern.
review_53ff5143a41d862350d136a5 :: It clearly caused some concern with those waiting further along the Strip to be collected.
review_14fb1c381a6cd986fd64e61c :: I can tell safety is there top concern and that says it all."
