序号 (Index),英文单词 (Word),中文翻译 (Translation),词汇全称 (Formatted),出现频次 (Frequency),平均游客星级 (Star Rating),固有 VADER 极性 (Intrinsic Polarity),Plutchik 情绪分类 (Category)
182,board,情绪与感知词汇,board (情绪与感知词汇),218,4.725,0.0,ANTICIPATION
183,fill,情绪与感知词汇,fill (情绪与感知词汇),39,4.462,0.0,TRUST
184,improve,情绪与感知词汇,improve (情绪与感知词汇),17,4.412,0.475,JOY
185,sun,情绪与感知词汇,sun (情绪与感知词汇),206,4.801,0.0,JOY
186,attention,关照/注重细节,attention (关照/注重细节),112,4.955,0.0,CATE
187,carefully,情绪与感知词汇,carefully (情绪与感知词汇),29,4.724,0.125,CATE
188,regret,情绪与感知词汇,regret (情绪与感知词汇),307,4.951,-0.45,SADNESS
189,wasted,浪钱浪费时间的,wasted (浪钱浪费时间的),33,2.455,-0.55,DISGUST
190,beach,情绪与感知词汇,beach (情绪与感知词汇),219,4.877,0.0,JOY
191,wrong,偏差/偏差纠错,wrong (偏差/偏差纠错),134,4.56,-0.525,CATE
192,advise,情绪与感知词汇,advise (情绪与感知词汇),47,4.66,0.0,TRUST
193,pleasant,情绪与感知词汇,pleasant (情绪与感知词汇),299,4.876,0.575,JOY
194,excited,情绪与感知词汇,excited (情绪与感知词汇),162,4.753,0.35,JOY
195,uncomfortable,身体不适/颠簸反感,uncomfortable (身体不适/颠簸反感),55,3.982,-0.4,CATE
196,stable,情绪与感知词汇,stable (情绪与感知词汇),76,4.882,0.3,TRUST
197,hot,情绪与感知词汇,hot (情绪与感知词汇),106,4.557,0.0,ANGER
198,fact,情绪与感知词汇,fact (情绪与感知词汇),203,4.675,0.0,TRUST
199,storm,情绪与感知词汇,storm (情绪与感知词汇),38,4.526,0.0,ANGER
200,watch,情绪与感知词汇,watch (情绪与感知词汇),121,4.843,0.0,ANTICIPATION
201,eagle,情绪与感知词汇,eagle (情绪与感知词汇),59,4.847,0.0,TRUST
202,warning,情绪与感知词汇,warning (情绪与感知词汇),41,4.293,-0.35,FEAR
203,nausea,情绪与感知词汇,nausea (情绪与感知词汇),34,4.735,0.0,DISGUST
204,respectful,情绪与感知词汇,respectful (情绪与感知词汇),15,5.0,0.5,TRUST
205,interested,情绪与感知词汇,interested (情绪与感知词汇),146,4.692,0.425,SADNESS
206,catch,情绪与感知词汇,catch (情绪与感知词汇),63,4.667,0.0,SURPRISE
207,suggest,情绪与感知词汇,suggest (情绪与感知词汇),136,4.772,0.0,TRUST
208,present,情绪与感知词汇,present (情绪与感知词汇),72,4.944,0.0,JOY
209,explore,情绪与感知词汇,explore (情绪与感知词汇),122,4.91,0.0,ANTICIPATION
210,fair,公道合理的/定价公平的,fair (公道合理的/定价公平的),55,4.545,0.325,CATE
211,food,情绪与感知词汇,food (情绪与感知词汇),70,4.614,0.0,JOY
212,sunny,情绪与感知词汇,sunny (情绪与感知词汇),369,4.886,0.45,JOY
213,complain,情绪与感知词汇,complain (情绪与感知词汇),18,4.5,-0.375,SADNESS
214,plan,情绪与感知词汇,plan (情绪与感知词汇),317,4.861,0.0,ANTICIPATION
215,polite,礼貌周到的,polite (礼貌周到的),125,4.832,0.0,CATE
216,disappoint,情绪与感知词汇,disappoint (情绪与感知词汇),127,4.937,-0.425,SADNESS
217,familiar,情绪与感知词汇,familiar (情绪与感知词汇),42,4.857,0.0,TRUST
218,communicative,情绪与感知词汇,communicative (情绪与感知词汇),25,5.0,0.0,CATE
219,romantic,情绪与感知词汇,romantic (情绪与感知词汇),41,5.0,0.425,JOY
220,negative,情绪与感知词汇,negative (情绪与感知词汇),55,4.473,-0.675,SADNESS
221,doubt,情绪与感知词汇,doubt (情绪与感知词汇),108,4.935,-0.375,SADNESS
222,lack,缺乏/美中不足的,lack (缺乏/美中不足的),46,3.848,-0.325,CATE
223,exciting,情绪与感知词汇,exciting (情绪与感知词汇),372,4.938,0.55,JOY
224,cloudy,情绪与感知词汇,cloudy (情绪与感知词汇),315,4.784,0.0,SADNESS
225,attentive,情绪与感知词汇,attentive (情绪与感知词汇),99,4.96,0.0,TRUST
226,departure,情绪与感知词汇,departure (情绪与感知词汇),110,4.473,0.0,SADNESS
227,change,情绪与感知词汇,change (情绪与感知词汇),188,4.686,0.0,FEAR
228,crystal,晶莹剔透的/水质清澈的,crystal (晶莹剔透的/水质清澈的),73,4.973,0.0,CATE
229,passionate,情绪与感知词汇,passionate (情绪与感知词汇),61,4.885,0.6,JOY
230,fascinating,令人着迷的/吸睛的,fascinating (令人着迷的/吸睛的),85,4.882,0.625,CATE
231,cooperating,情绪与感知词汇,cooperating (情绪与感知词汇),34,4.853,0.0,TRUST
232,cancel,取消行程/退订的,cancel (取消行程/退订的),131,4.634,-0.25,SADNESS
233,rainy,情绪与感知词汇,rainy (情绪与感知词汇),136,4.779,-0.075,SADNESS
234,grateful,感激的/感恩的,grateful (感激的/感恩的),81,4.926,0.5,CATE
235,delicious,情绪与感知词汇,delicious (情绪与感知词汇),35,5.0,0.675,JOY
236,black,情绪与感知词汇,black (情绪与感知词汇),76,4.921,0.0,SADNESS
237,unbelievable,难以置信的/超乎想象的,unbelievable (难以置信的/超乎想象的),348,4.983,0.2,CATE
238,bear,情绪与感知词汇,bear (情绪与感知词汇),214,4.879,0.0,FEAR
239,chance,情绪与感知词汇,chance (情绪与感知词汇),431,4.856,0.25,SURPRISE
240,mother,情绪与感知词汇,mother (情绪与感知词汇),139,4.835,0.0,JOY
241,hospitality,热情好客的,hospitality (热情好客的),63,4.984,0.0,CATE
242,solid,情绪与感知词汇,solid (情绪与感知词汇),37,4.892,0.15,CATE
243,difficult,情绪与感知词汇,difficult (情绪与感知词汇),111,4.613,-0.375,FEAR
244,case,情绪与感知词汇,case (情绪与感知词汇),195,4.764,0.0,SADNESS
245,cover,情绪与感知词汇,cover (情绪与感知词汇),205,4.829,0.0,TRUST
246,actual,真实体验/实际的,actual (真实体验/实际的),125,4.632,0.0,CATE
247,green,情绪与感知词汇,green (情绪与感知词汇),117,4.812,0.0,JOY
248,wilderness,情绪与感知词汇,wilderness (情绪与感知词汇),54,4.963,0.0,SADNESS
249,organized,组织良好的/有序的,organized (组织良好的/有序的),219,4.863,0.0,CATE
250,favorite,情绪与感知词汇,favorite (情绪与感知词汇),344,4.968,0.5,JOY
251,baby,情绪与感知词汇,baby (情绪与感知词汇),40,4.725,0.0,JOY
252,daughter,情绪与感知词汇,daughter (情绪与感知词汇),359,4.889,0.0,JOY
253,lower,情绪与感知词汇,lower (情绪与感知词汇),130,4.7,-0.3,SADNESS
254,interior,情绪与感知词汇,interior (情绪与感知词汇),64,4.766,0.0,TRUST
255,deal,情绪与感知词汇,deal (情绪与感知词汇),263,4.829,0.0,JOY
256,reliable,情绪与感知词汇,reliable (情绪与感知词汇),41,4.561,0.0,TRUST
257,hesitation,情绪与感知词汇,hesitation (情绪与感知词汇),69,4.87,-0.275,FEAR
258,standing,空中悬停/飞行姿态,standing (空中悬停/飞行姿态),128,4.711,0.0,CATE
259,blue,情绪与感知词汇,blue (情绪与感知词汇),309,4.9,0.0,SADNESS
260,agree,高度认同/一致赞同,agree (高度认同/一致赞同),72,4.944,0.375,CATE
261,father,情绪与感知词汇,father (情绪与感知词汇),72,4.792,0.0,TRUST
262,overcast,多云天色的/阴天的,overcast (多云天色的/阴天的),110,4.745,0.0,CATE
263,chatty,情绪与感知词汇,chatty (情绪与感知词汇),29,4.897,0.0,CATE
264,clouded,情绪与感知词汇,clouded (情绪与感知词汇),23,4.565,-0.05,SADNESS
265,magnificent,情绪与感知词汇,magnificent (情绪与感知词汇),320,4.956,0.725,JOY
266,cross,情绪与感知词汇,cross (情绪与感知词汇),36,4.833,0.0,SADNESS
267,organization,情绪与感知词汇,organization (情绪与感知词汇),71,4.915,0.0,JOY
268,agreed,情绪与感知词汇,agreed (情绪与感知词汇),95,4.758,0.275,TRUST
269,honesty,情绪与感知词汇,honesty (情绪与感知词汇),18,4.556,0.55,TRUST
270,rating,情绪与感知词汇,rating (情绪与感知词汇),68,4.279,0.0,SADNESS
271,operation,情绪与感知词汇,operation (情绪与感知词汇),313,4.949,0.0,TRUST
272,assist,情绪与感知词汇,assist (情绪与感知词汇),17,4.941,0.0,TRUST
273,successful,情绪与感知词汇,successful (情绪与感知词汇),21,4.571,0.7,JOY
274,touched,情绪与感知词汇,touched (情绪与感知词汇),42,4.905,0.0,CATE
275,immaculate,完美无瑕的,immaculate (完美无瑕的),15,5.0,0.0,JOY
276,efficient,情绪与感知词汇,efficient (情绪与感知词汇),214,4.944,0.45,TRUST
277,choice,明智的选择/契合的决策,choice (明智的选择/契合的决策),257,4.895,0.0,CATE
278,opposed,情绪与感知词汇,opposed (情绪与感知词汇),17,4.882,0.0,FEAR
279,brilliant,情绪与感知词汇,brilliant (情绪与感知词汇),198,4.965,0.7,JOY
280,majestic,情绪与感知词汇,majestic (情绪与感知词汇),193,4.959,0.0,JOY
281,luck,情绪与感知词汇,luck (情绪与感知词汇),97,4.649,0.5,JOY
282,word,情绪与感知词汇,word (情绪与感知词汇),106,4.774,0.0,TRUST
283,advice,情绪与感知词汇,advice (情绪与感知词汇),111,4.739,0.0,TRUST
284,apprehensive,情绪与感知词汇,apprehensive (情绪与感知词汇),92,4.989,0.0,ANTICIPATION
285,interest,兴趣/看点,interest (兴趣/看点),228,4.921,0.5,CATE
286,hunter,情绪与感知词汇,hunter (情绪与感知词汇),56,4.982,0.0,SADNESS
287,advance,情绪与感知词汇,advance (情绪与感知词汇),190,4.379,0.0,JOY
288,surprisingly,情绪与感知词汇,surprisingly (情绪与感知词汇),35,4.971,0.3,ANTICIPATION
289,depth,情绪与感知词汇,depth (情绪与感知词汇),43,4.953,0.0,TRUST
290,avalanche,情绪与感知词汇,avalanche (情绪与感知词汇),27,5.0,0.0,SADNESS
291,endless,情绪与感知词汇,endless (情绪与感知词汇),22,5.0,0.0,JOY
292,fell,情绪与感知词汇,fell (情绪与感知词汇),59,4.695,0.0,SADNESS
293,important,情绪与感知词汇,important (情绪与感知词汇),150,4.74,0.2,TRUST
294,forward,前向视角/期待视角,forward (前向视角/期待视角),178,4.556,0.0,CATE
295,god,情绪与感知词汇,god (情绪与感知词汇),82,4.866,0.275,JOY
296,battery,情绪与感知词汇,battery (情绪与感知词汇),16,4.812,0.0,ANGER
297,picturesque,情绪与感知词汇,picturesque (情绪与感知词汇),38,4.947,0.4,JOY
298,authentic,地道真实的,authentic (地道真实的),15,4.933,0.0,JOY
299,anchorage,情绪与感知词汇,anchorage (情绪与感知词汇),166,4.753,0.0,SADNESS
300,enjoying,情绪与感知词汇,enjoying (情绪与感知词汇),98,4.867,0.6,JOY
301,calls,情绪与感知词汇,calls (情绪与感知词汇),41,4.171,0.0,TRUST
302,worried,情绪与感知词汇,worried (情绪与感知词汇),146,4.87,-0.3,SADNESS
303,swim,情绪与感知词汇,swim (情绪与感知词汇),17,4.824,0.0,JOY
304,intimate,情绪与感知词汇,intimate (情绪与感知词汇),61,4.885,0.0,JOY
305,wanting,情绪与感知词汇,wanting (情绪与感知词汇),114,4.956,0.0,SADNESS
306,charming,情绪与感知词汇,charming (情绪与感知词汇),40,4.95,0.7,CATE
307,stress,情绪与感知词汇,stress (情绪与感知词汇),39,4.923,-0.45,CATE
308,working,设备良好运转的,working (设备良好运转的),121,4.57,0.0,CATE
309,nauseous,情绪与感知词汇,nauseous (情绪与感知词汇),33,4.697,0.0,SADNESS
310,satisfied,情绪与感知词汇,satisfied (情绪与感知词汇),53,4.925,0.45,JOY
311,considerate,情绪与感知词汇,considerate (情绪与感知词汇),61,4.967,0.475,TRUST
312,appreciation,情绪与感知词汇,appreciation (情绪与感知词汇),51,4.98,0.575,JOY
313,lost,情绪与感知词汇,lost (情绪与感知词汇),64,4.219,-0.325,SADNESS
