序号,CATE 词汇,英文单词 (Pure Word),中文释义 (Translation),出现频次 (Freq),平均星级 (Stars),VADER 得分,语义类别
60,flexibility (体验与服务维度词),flexibility,体验与服务维度词,42,4.857,0.923,商家服务弹性
61,decent (体验与服务维度词),decent,体验与服务维度词,42,4.31,0.837,中规中矩评价
62,seasoned (体验与服务维度词),seasoned,体验与服务维度词,40,5.0,0.953,飞行员资历与经验
63,charming (体验与服务维度词),charming,体验与服务维度词,40,4.95,0.945,景致魅力
64,adventurous (体验与服务维度词),adventurous,体验与服务维度词,39,4.846,0.949,探险体验属性
65,extensive (体验与服务维度词),extensive,体验与服务维度词,39,4.897,0.912,飞行员专业背景
66,touched (体验与服务维度词),touched,体验与服务维度词,39,4.897,0.905,情感触动
67,stress (体验与服务维度词),stress,体验与服务维度词,38,4.921,0.936,安心与情绪放松
68,greater (体验与服务维度词),greater,体验与服务维度词,37,4.811,0.858,视角对比提升
69,kindness (体验与服务维度词),kindness,体验与服务维度词,37,4.892,0.909,工作人员态度
70,impression (体验与服务维度词),impression,体验与服务维度词,37,4.514,0.795,整体留存记忆
71,superior (体验与服务维度词),superior,体验与服务维度词,35,4.886,0.876,服务与视角质量
72,solid (体验与服务维度词),solid,体验与服务维度词,34,4.882,0.956,飞行员技术评价
73,bother (体验与服务维度词),bother,体验与服务维度词,34,4.588,0.84,负面情绪微调
74,overwhelming (体验与服务维度词),overwhelming,体验与服务维度词,33,4.848,0.873,视觉冲击力
75,cute (体验与服务维度词),cute,体验与服务维度词,30,4.8,0.967,客舱氛围
76,educated (体验与服务维度词),educated,体验与服务维度词,29,5.0,0.914,飞行员素养
77,chatty (体验与服务维度词),chatty,体验与服务维度词,29,4.897,0.956,互动沟通风格
78,silk (体验与服务维度词),silk,体验与服务维度词,29,5.0,0.93,飞行平稳度描述
79,timely (及时高效的),timely,及时高效的,28,4.786,0.819,时间效率保障
80,stellar (顶尖出色的),stellar,顶尖出色的,28,4.786,0.805,卓越品质评价
81,carefully (体验与服务维度词),carefully,体验与服务维度词,27,4.852,0.917,安全操纵
82,boring (枯燥乏味无聊的),boring,枯燥乏味无聊的,27,3.667,0.591,体验负面评价
83,communicative (体验与服务维度词),communicative,体验与服务维度词,25,5.0,0.865,客服与飞行员沟通
84,cramped (客舱狭窄拥挤的),cramped,客舱狭窄拥挤的,25,4.64,0.79,客舱空间缺陷
85,soak (体验与服务维度词),soak,体验与服务维度词,23,4.957,0.975,美景沉浸体验
86,comprehensive (体验与服务维度词),comprehensive,体验与服务维度词,23,4.957,0.921,解说丰富度
87,diverse (体验与服务维度词),diverse,体验与服务维度词,23,5.0,0.707,景观丰富度
88,graciously (体验与服务维度词),graciously,体验与服务维度词,22,4.955,0.949,态度体贴
89,skeptical (体验与服务维度词),skeptical,体验与服务维度词,22,4.818,0.837,行前心理变化
90,inexpensive (体验与服务维度词),inexpensive,体验与服务维度词,22,4.864,0.908,价格竞争力
91,cherry (体验与服务维度词),cherry,体验与服务维度词,21,4.762,0.859,亮点体验修饰
92,refreshing (令人耳目一新的),refreshing,令人耳目一新的,21,4.905,0.947,心理新鲜感
93,courtesy (体验与服务维度词),courtesy,体验与服务维度词,20,4.65,0.819,商家赠送与服务
94,tired (体验与服务维度词),tired,体验与服务维度词,20,4.5,0.712,体能状态
95,immense (体验与服务维度词),immense,体验与服务维度词,20,5.0,0.938,宏大景观感悟
96,chilly (体验与服务维度词),chilly,体验与服务维度词,19,4.842,0.932,客舱温度感知
97,suitable (体验与服务维度词),suitable,体验与服务维度词,19,4.526,0.871,客群适用度
98,granted (体验与服务维度词),granted,体验与服务维度词,19,4.842,0.827,体验心境
99,leisurely (悠闲从容的),leisurely,悠闲从容的,18,4.944,0.96,飞行节奏感知
100,valuable (体验与服务维度词),valuable,体验与服务维度词,17,4.529,0.919,体验价值评价
101,suffer (体验与服务维度词),suffer,体验与服务维度词,17,4.941,0.821,身体适应度
102,energetic (体验与服务维度词),energetic,体验与服务维度词,17,5.0,0.945,飞行员情绪感染
103,charm (体验与服务维度词),charm,体验与服务维度词,17,4.882,0.959,景致魅力
104,comprehend (体验与服务维度词),comprehend,体验与服务维度词,16,5.0,0.842,心境顿悟
105,hooked (体验与服务维度词),hooked,体验与服务维度词,16,5.0,0.94,体验着迷感
106,essential (体验与服务维度词),essential,体验与服务维度词,15,4.933,0.913,推荐级别评价
107,balanced (体验与服务维度词),balanced,体验与服务维度词,15,4.8,0.878,飞行操控稳定性
