word,chinese_translation,frequency,review_count,example_context
recommend,非情感/中性客观词,146,138,"review_85b1ad0d6eac5eebd570b607 :: Would recommend highly.
review_291988db94de25fedef72be3 :: I highly recommend this flight!
review_b79c6cfcd7b2a3c981b7475b :: Definitely recommend and would love to take another sea plane outing!
review_7e2201b48b681475df75ef1a :: We couldn't recommend this tour enough.
review_3e49c04ea9e77e714a81cdfb :: I highly recommend taking a flight from Envi."
day,非情感/中性客观词,142,102,"review_7b76705a2666fc9f007a68b5 :: We were on the last flight of the day and the weather had been iffy.
review_7b76705a2666fc9f007a68b5 :: Most of the flights were not able to land on the glacier that day and we almost rebooked for the next morning.
review_347a597fb8c019adff981117 :: The entire day was perfect.
review_aad1475f0d24f59cc1b5bc8b :: Hope to fly with FHS again 1 day!
review_353636e7a5b2962a9d433033 :: We got extremely lucky being the day of our flightseeing tour, was the only day of our entire trip that had clear skies."
way,非情感/中性客观词,132,105,"review_b76e6c2bc278477c91d37c62 :: I first want to state that our pilot Spencer was wonderful in every way.
review_b76e6c2bc278477c91d37c62 :: I'm being generous by saying ""average,"" simply because I hate to reflect badly on him in any way.
review_b76e6c2bc278477c91d37c62 :: I'm not sure if my complaint should be directed to TripAdvisor (who does not appear to have a way for me to contact them directly) or with the provider company Envi.
review_b76e6c2bc278477c91d37c62 :: Spencer was great, and he figured out a way to allow us to book a second trip so we could still all participate, though this doubled our cost.
review_7b76705a2666fc9f007a68b5 :: This very professional company goes out of their way to satisfy customers while still being safe."
back,非情感/中性客观词,120,78,"review_291988db94de25fedef72be3 :: ), came back over the coastline to the Napoli Coast.
review_7e2201b48b681475df75ef1a :: The entire flight was smooth and the pilot was full of information both on the way to the glacier and coming back.
review_9876556ef47117a9c27fced8 :: On the way back home you fly directly over the bridge and back to base.
review_07b74d25ca8cca39cb34a0be :: First of all he tried to accommodate 6 people on the plane and I was asked to sit all the way in the back where there was no cushion for your back.
review_07b74d25ca8cca39cb34a0be :: My back is still hurting."
island,非情感/中性客观词,118,75,"review_291988db94de25fedef72be3 :: The tour continued over Princeville/Hanalei and then turned into the center of the island where we flew around the volcano, saw numerous waterfalls, including Wailua Falls!
review_291988db94de25fedef72be3 :: I cannot say enough about how fun and interesting this flight was to see so much of the island and to get such a detailed commentary from Kevin!
review_7b8fca9fb1b20483fadf5af6 :: We especially liked the way he pointed out the scenes from Hollywood flicks that were shot in various spots in the island.
review_a7368b502923fca015488011 :: Can’t recommend this enough, you will see the island like no other!
review_082e1f27aa3bb895882c5db8 :: What better way to see an island for the first time than seeing the entire island."
took,非情感/中性客观词,110,93,"review_b79c6cfcd7b2a3c981b7475b :: We took our tour on a DeHavilland Beaver, and from the very start, our guide was great- he even carried me out to the plane so I wouldn't get my shoes wet!
review_8b4c172e7b644d8c4b931cc0 :: We were placed on an early tour and a shuttle took us to the Taquan office.
review_353636e7a5b2962a9d433033 :: He even took some amazing photos of us in front of the plane.
review_f5f9cfcb1ff8c9e809596258 :: We took the flight tour with the mountain landing and it was one of the best vacation experiences we have ever had.
review_6156ccd88f392b21de3b4908 :: The plane ride there was great and only took 1:55 minutes with stopping once in BC to check into customs and continue on to Eagle Nook Resort."
amazing,,108,94,"review_353636e7a5b2962a9d433033 :: The flight was amazing, pilot Phillip was so nice and informative.
review_353636e7a5b2962a9d433033 :: He even took some amazing photos of us in front of the plane.
review_49afe959e23ac2c2b1cde5bd :: Are the views amazing?
review_52acbf242c938fb33187635a :: Both flights were amazing and totally different experiences.
review_606c51f8ee10965aa9c59bca :: The views and scenery were spectacular and the view to Mt McKinley was amazing."
even,非情感/中性客观词,108,84,"review_291988db94de25fedef72be3 :: We were so excited to be doing this flight, but Kevin made it even more exciting for us.
review_291988db94de25fedef72be3 :: He taught us everything we needed to know pre-flight and then even after take off he was able to communicate with us through the headsets we had.
review_b79c6cfcd7b2a3c981b7475b :: We took our tour on a DeHavilland Beaver, and from the very start, our guide was great- he even carried me out to the plane so I wouldn't get my shoes wet!
review_b79c6cfcd7b2a3c981b7475b :: )- we even saw manatees from the plane!
review_391296b7cc0f06b72663511f :: Well worth it and the flight was even and calm, important for queasy fliers."
landing,非情感/中性客观词,105,78,"review_85b1ad0d6eac5eebd570b607 :: Pilot did an excellent job of providing views from every angle for every passenger - fantastic landing on the glacier.
review_353636e7a5b2962a9d433033 :: My boyfriend and I booked the flightseeing tour with glacier landing months in advance with of course no idea the weather.
review_7e2201b48b681475df75ef1a :: In August 2024, we booked the Southside Explorer with a glacier landing for my family of 4.
review_f5f9cfcb1ff8c9e809596258 :: We took the flight tour with the mountain landing and it was one of the best vacation experiences we have ever had.
review_f0ee2cd886f1308d732e265f :: The only drawback for us was the weather didn’t cooperate, so no peak sighting or glacier landing, but no one can control Mother Nature."
got,非情感/中性客观词,102,76,"review_8b4c172e7b644d8c4b931cc0 :: We got of our cruise ship early and were able to purchase our trip from one of the operators at the end of the dock.
review_353636e7a5b2962a9d433033 :: We got extremely lucky being the day of our flightseeing tour, was the only day of our entire trip that had clear skies.
review_5a026e7a079885b0a8041d9e :: And we got very good views, total ride time was 2 hrs.
review_52acbf242c938fb33187635a :: Our trip this year we finally got to see Mt.
review_e68e4472a8fa5075641e96df :: We got down to the dock immediately after getting off the plane and standing on the dock."
glacier,非情感/中性客观词,99,63,"review_85b1ad0d6eac5eebd570b607 :: Pilot did an excellent job of providing views from every angle for every passenger - fantastic landing on the glacier.
review_7b76705a2666fc9f007a68b5 :: Most of the flights were not able to land on the glacier that day and we almost rebooked for the next morning.
review_7b76705a2666fc9f007a68b5 :: I assumed we would have to return to the airport, but instead we landed on Thunder glacier, miles of virgin snow, not one track or footprint.
review_353636e7a5b2962a9d433033 :: My boyfriend and I booked the flightseeing tour with glacier landing months in advance with of course no idea the weather.
review_7e2201b48b681475df75ef1a :: In August 2024, we booked the Southside Explorer with a glacier landing for my family of 4."
helicopter,非情感/中性客观词,99,72,"review_b76e6c2bc278477c91d37c62 :: We were specifically seeking a helicopter ride, and booked this trip only because it was advertised as such.
review_b76e6c2bc278477c91d37c62 :: The second surprise was that this was a plane tour instead of a helicopter tour.
review_b76e6c2bc278477c91d37c62 :: Spencer did everything in his power to make this a fun outing for us, but he couldn't turn his plane into a helicopter and he had to charge us for the second trip.
review_a16674769364bddb39438f8b :: Then it was off to the West Rim of the Grand Canyon where we rode in our helicopter over the rim and down to the bottom of the Canyon for a boat ride along the Colorado River.
review_9a11f9cee33a76f2968df167 :: We have friends that now live in Hawaii and they strongly suggested that we take a plane tour of Kauai, rather than a helicopter tour."
weather,非情感/中性客观词,99,76,"review_85b1ad0d6eac5eebd570b607 :: Outstanding trip - weather was great.
review_7b76705a2666fc9f007a68b5 :: We were on the last flight of the day and the weather had been iffy.
review_7b76705a2666fc9f007a68b5 :: As anyone who has traveled around Alaska knows (and we quickly learned) you can always predict that the weather will be unpredictable.
review_353636e7a5b2962a9d433033 :: Its really important to note that the weather is a huge constraint on this activity.
review_353636e7a5b2962a9d433033 :: My boyfriend and I booked the flightseeing tour with glacier landing months in advance with of course no idea the weather."
really,,97,77,"review_353636e7a5b2962a9d433033 :: Its really important to note that the weather is a huge constraint on this activity.
review_7e2201b48b681475df75ef1a :: This is really the best way to see both Denali the mountain as well as the park.
review_9a11f9cee33a76f2968df167 :: We were presented with CD's of pictures and a Hawaiian playlist which we really appreciated.
review_8f5e0f00afe0371683965f83 :: I really enjoyed the experience, especially the unexpected ginger chews, kukui nut lei, and photographs they gave us!
review_36ec0ca30c015a4a8e0e9330 :: But people with disabilities can not do a lot of things to really know this wonderful place."
take,非情感/中性客观词,96,80,"review_291988db94de25fedef72be3 :: He taught us everything we needed to know pre-flight and then even after take off he was able to communicate with us through the headsets we had.
review_b79c6cfcd7b2a3c981b7475b :: He gave us a history of the plane itself as we prepared for take off on the water, and continued to trickle in facts about the sights we were flying over.
review_b79c6cfcd7b2a3c981b7475b :: Definitely recommend and would love to take another sea plane outing!
review_7b76705a2666fc9f007a68b5 :: If you ever get a chance take this once in a lifetime flight, it is a must do!
review_3e49c04ea9e77e714a81cdfb :: Take the flight."
made,非情感/中性客观词,92,80,"review_b76e6c2bc278477c91d37c62 :: We made the best of a pretty disappointing and unexpectedly expensive situation, but we will not be trusting TripAdvisor descriptions in the future.
review_291988db94de25fedef72be3 :: We were so excited to be doing this flight, but Kevin made it even more exciting for us.
review_353636e7a5b2962a9d433033 :: K2 made our experience super relaxing and stress free.
review_f5f9cfcb1ff8c9e809596258 :: The crew was very professional and for us this is literally one of the best vacation decisions we have ever made.
review_fd7ebcc7f5e93d96ece3c7ac :: I was a little nervous, never flown in a small plane but Kim was great, made us all very comfortable."
good,,89,70,"review_291988db94de25fedef72be3 :: All we good was giggle with excitement!
review_5a026e7a079885b0a8041d9e :: We were lucky, the weather was good.
review_5a026e7a079885b0a8041d9e :: And we got very good views, total ride time was 2 hrs.
review_5a026e7a079885b0a8041d9e :: I would say it’s worth the amount, it’s a good memory for us.
review_6156ccd88f392b21de3b4908 :: The pilot was very good at his job and extremely nice."
air,非情感/中性客观词,87,72,"review_7610caa1138d8b33b74c4e88 :: Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon.
review_7610caa1138d8b33b74c4e88 :: The crew was professional, aircraft was top notch (nothing rickety here) and the cost was reasonable compared to other air tours we have done in different parts of the country.
review_07b74d25ca8cca39cb34a0be :: Taquan air says guaranteed window seats but they do not tell you that their back seats do not have cushions on it.
review_07b74d25ca8cca39cb34a0be :: The reason I did not create a fuss on the spot was because that was the last tour and my ship was leaving in 1 hour and there was no other tour available so us it as an advice and if you book it through Taquan air make sure to ask at the counter that they are not asking you to sit in the back.
review_082e1f27aa3bb895882c5db8 :: and by air!"
well,非情感/中性客观词,84,68,"review_391296b7cc0f06b72663511f :: But the other peaks, glaciers and runoffs are well worth it.
review_391296b7cc0f06b72663511f :: Well worth it and the flight was even and calm, important for queasy fliers.
review_7e2201b48b681475df75ef1a :: He told facts about the park as well as interesting historical facts.
review_7e2201b48b681475df75ef1a :: This is really the best way to see both Denali the mountain as well as the park.
review_221283419e26d28fca58af8a :: Friendly service and well worth it."
also,非情感/中性客观词,78,63,"review_a7368b502923fca015488011 :: Also Eric was the best overall and his landing and knowledge was impressive!
review_082e1f27aa3bb895882c5db8 :: The girl working in the office was very friendly and also the pilots daughter.
review_c0eca4e9ffc9c70d92b13055 :: The views were great overall, and also could see all the details.
review_98e74ad69a88380b69ce727c :: The tour guide Eric was not only friendly, knowledgeable, and patient, but also a skillful pilot.
review_123bf9f58334923a62ba4371 :: Wings Over Kauai also gifts you with a lovely DVD as a thank you gift for taking their flight."
company,非情感/中性客观词,78,62,"review_b76e6c2bc278477c91d37c62 :: I'm not sure if my complaint should be directed to TripAdvisor (who does not appear to have a way for me to contact them directly) or with the provider company Envi.
review_7b76705a2666fc9f007a68b5 :: This very professional company goes out of their way to satisfy customers while still being safe.
review_7e2201b48b681475df75ef1a :: The company was fantastic to deal with and the actual flight was wonderful!
review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.
review_4899b603a9d2f1beb416a798 :: This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to become fearful of their personal safety."
flying,非情感/中性客观词,76,56,"review_b79c6cfcd7b2a3c981b7475b :: He gave us a history of the plane itself as we prepared for take off on the water, and continued to trickle in facts about the sights we were flying over.
review_7e2201b48b681475df75ef1a :: My 13 year old son loves all things flying and our pilot, Tim, let him sit up front with him on the way to Denali.
review_52acbf242c938fb33187635a :: This was my second time flying with K2 Aviantion.
review_52acbf242c938fb33187635a :: Over all I highly recommend K2 Aviation and look forward to flying with them again on a return visit to Alaksa!
review_6c89ecdf05add32f2e5cb9a7 :: Flying over and around the mountains was an almost surreal experience, even after having spent 8 days backpacking through the wilderness just north of the same mountains."
much,非情感/中性客观词,76,68,"review_291988db94de25fedef72be3 :: I cannot say enough about how fun and interesting this flight was to see so much of the island and to get such a detailed commentary from Kevin!
review_7b76705a2666fc9f007a68b5 :: The flight up to and around Denali was awe-inspiring, we saw all of the glaciers and Chris, our pilot, pointed out the trail that the climbers use and much more.
review_a16674769364bddb39438f8b :: As Gayle described our itinerary for the day, I could hardly believe how much we would experience in just 8 hours.
review_082e1f27aa3bb895882c5db8 :: Helped me upgrade to a smaller plane (not much more) so we would have it all to ourselves.
review_8f5e0f00afe0371683965f83 :: :) And the $120 price point was much cheaper than the price point the helicopter tours were charging."
highly,非情感/中性客观词,74,72,"review_85b1ad0d6eac5eebd570b607 :: Would recommend highly.
review_291988db94de25fedef72be3 :: I highly recommend this flight!
review_3e49c04ea9e77e714a81cdfb :: I highly recommend taking a flight from Envi.
review_52acbf242c938fb33187635a :: Over all I highly recommend K2 Aviation and look forward to flying with them again on a return visit to Alaksa!
review_6156ccd88f392b21de3b4908 :: Overall I would highly suggest Northwest Seaplanes to all of my friends, customers, and clients for their travel to BC areas for Future fishing trips or sight seeing in Seattle."
ride,非情感/中性客观词,71,55,"review_b76e6c2bc278477c91d37c62 :: We were specifically seeking a helicopter ride, and booked this trip only because it was advertised as such.
review_b76e6c2bc278477c91d37c62 :: When we arrived, our first surprise was that we could not all 3 be included in the ride.
review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there.
review_5a026e7a079885b0a8041d9e :: And we got very good views, total ride time was 2 hrs.
review_a16674769364bddb39438f8b :: Then it was off to the West Rim of the Grand Canyon where we rode in our helicopter over the rim and down to the bottom of the Canyon for a boat ride along the Colorado River."
fly,非情感/中性客观词,67,59,"review_b79c6cfcd7b2a3c981b7475b :: I've been wanting to fly on a seaplane for ages, and when my parents came to visit it seemed like a perfect time to check it off the list.
review_1b882aa7c72201a6725b9fe7 :: You fly so close to the Moose Teeth mountain that you feel like you can touch it.
review_aad1475f0d24f59cc1b5bc8b :: Hope to fly with FHS again 1 day!
review_7e2201b48b681475df75ef1a :: We chose to fly that evening based on their recommendation and it did not disappoint!
review_3e49c04ea9e77e714a81cdfb :: Absolutely worth every penny I worked for to fly!"
booked,非情感/中性客观词,66,55,"review_b76e6c2bc278477c91d37c62 :: My brother and I booked this tour as a Father's Day gift for our dad - planning that all 3 of us would enjoy the experience together.
review_b76e6c2bc278477c91d37c62 :: We were specifically seeking a helicopter ride, and booked this trip only because it was advertised as such.
review_291988db94de25fedef72be3 :: So we did and booked a flight with our very experienced pilot Kevin.
review_7b76705a2666fc9f007a68b5 :: We booked with Talkeetna Air Taxi based on the recommendation of our tour agent Colette of Rainbow Mountain Adventures and we were amazed.
review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there."
view,非情感/中性客观词,64,51,"review_353636e7a5b2962a9d433033 :: The front seat is most definitely the best view but they navigate the plane in a way where everyone gets a chance to see everything.
review_9876556ef47117a9c27fced8 :: Great view of Sausalito, San Francisco Bay and the city.
review_45b67bfe46ceac2e8567f12e :: I have flown with them twice- very professional and a stellar view of the canyon.
review_7b8fca9fb1b20483fadf5af6 :: Now about the view, I simply think even if you cover the spots by land or sea an aerial view is unmatched for.
review_606c51f8ee10965aa9c59bca :: The views and scenery were spectacular and the view to Mt McKinley was amazing."
people,非情感/中性客观词,61,52,"review_49afe959e23ac2c2b1cde5bd :: While the glaciers do not disappoint the reason most people want to take the tours is to see Denali.
review_07b74d25ca8cca39cb34a0be :: First of all he tried to accommodate 6 people on the plane and I was asked to sit all the way in the back where there was no cushion for your back.
review_e68e4472a8fa5075641e96df :: We booked our round trip flight online and the people were great to work with very helpful and answered all questions repeatedly.
review_36ec0ca30c015a4a8e0e9330 :: Most of the people can hike, walk,explore The Grand Canyon.
review_36ec0ca30c015a4a8e0e9330 :: But people with disabilities can not do a lot of things to really know this wonderful place."
flew,非情感/中性客观词,59,49,"review_291988db94de25fedef72be3 :: He gave a wonderful description of everything we flew over.
review_291988db94de25fedef72be3 :: this included the resort area, up to Waimea Canyon (where we flew right down the middle!
review_291988db94de25fedef72be3 :: The tour continued over Princeville/Hanalei and then turned into the center of the island where we flew around the volcano, saw numerous waterfalls, including Wailua Falls!
review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes, times,or just not willing to fly in if the weather/cloud ceilings were low.
review_e68e4472a8fa5075641e96df :: We flew on a scheduled flight to Edna Bay Alaska and had the trip coordinated with the arrival of our flight in the morning so we did not have to sit around or spend the night in Ketchikan."
guide,非情感/中性客观词,58,49,"review_b79c6cfcd7b2a3c981b7475b :: We took our tour on a DeHavilland Beaver, and from the very start, our guide was great- he even carried me out to the plane so I wouldn't get my shoes wet!
review_a16674769364bddb39438f8b :: We departed Phoenix on our private 9-passenger plane with our expert guide and pilot, Captain Ron.
review_6c89ecdf05add32f2e5cb9a7 :: My pilot and guide Chris was knowledgeable, accommodating, skilled, and very friendly - his steady piloting and narration throughout the trip added to an already amazing trip.
review_c6388dc2ce0d1b794c18df93 :: Great ground crew, a wonderful pilot and guide, and a memorable flight!
review_da8299d8fba78458a1318905 :: ) and the breathtaking interior of Upper Antelope Canyon which is open only by reserved tour (you can't just walk in yourself-- you have to have a guide)."
never,非情感/中性客观词,58,49,"review_7b8fca9fb1b20483fadf5af6 :: You will never regret the experience.
review_fd7ebcc7f5e93d96ece3c7ac :: I was a little nervous, never flown in a small plane but Kim was great, made us all very comfortable.
review_fd7ebcc7f5e93d96ece3c7ac :: The Maze and Needles area of Canyonlands are things I would probably never see any other way.
review_8f5e0f00afe0371683965f83 :: I've never taken a small plane tour before so I didn't know what to expect, but it was a fantastic way to see the island and it wasn't scary at all!
review_f1afb11c14a20df3c0e654e1 :: You'll never have an experience"
smooth,,58,56,"review_7e2201b48b681475df75ef1a :: The entire flight was smooth and the pilot was full of information both on the way to the glacier and coming back.
review_6857382b853cc9b1e8671ff9 :: The views from the air were stunning and the flight was so smooth.
review_3b2f354df3d8b44c9d34a54a :: The flight was very smooth.
review_bd821a97ad719aeeebde185a :: Bruce was a wonderful pilot - it was an extremely smooth flight and Bruce was a great guide.
review_93b20d34356a3ffa721dd249 :: The ride was smooth, no sickness whatsoever even with a few bumps."
go,非情感/中性客观词,57,50,"review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there.
review_9876556ef47117a9c27fced8 :: You fly along the coast at about 1000’ looking at the sites then you gain a little altitude and go across the city viewing Golden Gate Park and the Presidio.
review_a16674769364bddb39438f8b :: If you've ever wanted to enjoy a truly unique way to enjoy the magnificence of the Grand Canyon, Westwind is the way to go!
review_fd7ebcc7f5e93d96ece3c7ac :: The colors of the rocks and formations are just impossible to describe, go see it!
review_f1afb11c14a20df3c0e654e1 :: And K2 is the company to GO with."
saw,非情感/中性客观词,57,48,"review_291988db94de25fedef72be3 :: When our commercial plane arrived in Lihue, we saw this yellow bi-plane parked near where we taxied in to our gate.
review_291988db94de25fedef72be3 :: The tour continued over Princeville/Hanalei and then turned into the center of the island where we flew around the volcano, saw numerous waterfalls, including Wailua Falls!
review_b79c6cfcd7b2a3c981b7475b :: )- we even saw manatees from the plane!
review_7b76705a2666fc9f007a68b5 :: The flight up to and around Denali was awe-inspiring, we saw all of the glaciers and Chris, our pilot, pointed out the trail that the climbers use and much more.
review_e68e4472a8fa5075641e96df :: We waited saw several Taquan float planes take off."
able,,56,49,"review_291988db94de25fedef72be3 :: He taught us everything we needed to know pre-flight and then even after take off he was able to communicate with us through the headsets we had.
review_7b76705a2666fc9f007a68b5 :: Most of the flights were not able to land on the glacier that day and we almost rebooked for the next morning.
review_8b4c172e7b644d8c4b931cc0 :: We got of our cruise ship early and were able to purchase our trip from one of the operators at the end of the dock.
review_8b4c172e7b644d8c4b931cc0 :: Apparently they sell what the cruise lines have been unable to sell, so are able to sell unsold seats at a discount.
review_51d3d1bdd73dc48dd25270e7 :: Not only was the pilot exceptionally knowledgeable of San Fran but the entire experience represented excellent value for money where we were able to see the city from above over a 30 minute period (which is more than enough time)."
family,非情感/中性客观词,56,50,"review_347a597fb8c019adff981117 :: Thanks to everyone at Westwind and especially Max- what a memory for our family!
review_7e2201b48b681475df75ef1a :: In August 2024, we booked the Southside Explorer with a glacier landing for my family of 4.
review_082e1f27aa3bb895882c5db8 :: It's family-owned so they take real good care of you and make sure that you have an awesome experience.
review_36ec0ca30c015a4a8e0e9330 :: Flying over the Canyon was the best experience ever for my son in wheelchair and the whole family.
review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022."
awesome,,55,40,"review_347a597fb8c019adff981117 :: Our pilot, Max, was awesome!
review_3e49c04ea9e77e714a81cdfb :: Bring your friends, make some awesome memories and take some beautiful photos.
review_082e1f27aa3bb895882c5db8 :: It's family-owned so they take real good care of you and make sure that you have an awesome experience.
review_bd821a97ad719aeeebde185a :: And the sights were awesome.
review_50ad674985c5646672bc62e8 :: I was having such an awesome time i have no idea how long we flew before we landed on a deep blue lake high in the mountains."
first,非情感/中性客观词,55,47,"review_b76e6c2bc278477c91d37c62 :: I first want to state that our pilot Spencer was wonderful in every way.
review_b76e6c2bc278477c91d37c62 :: When we arrived, our first surprise was that we could not all 3 be included in the ride.
review_353636e7a5b2962a9d433033 :: Before boarding the flight, I asked if I could sit up front and the pilot said yes saying ""its kind of a 'whoever asks first' can sit in the front"".
review_45b67bfe46ceac2e8567f12e :: My first trip was exciting and the pilot had great music to accentuate the trip.
review_7b8fca9fb1b20483fadf5af6 :: This was my first experience of this kind."
